scenario,duplicate_filter_window_s,method,n_pairs,feature_set_name,feature_set,grouped_cv_auc,bootstrap_ci95_low,bootstrap_ci95_high,permutation_auc_mean,permutation_ci95_low,permutation_ci95_high,status
no_attack,0,BudgetDoS,20,internal_path_diagnostic,cache_path_rate;reserve_path_rate;host_scan_path_rate;budget_skip_path_rate;duplicate_filter_path_rate;rl_path_rate;mean_aes_attempts,1.0,1.0,1.0,0.501357,0.269906,0.73375,complete
no_attack,0,P3-NoPersist,20,external_delay_defer_proxy,defer_rate;mean_delay_ms;p95_delay_ms,1.0,1.0,1.0,0.502391,0.264969,0.743781,complete
no_attack,0,P3-NoPersist,20,internal_path_diagnostic,cache_path_rate;reserve_path_rate;host_scan_path_rate;budget_skip_path_rate;duplicate_filter_path_rate;rl_path_rate;mean_aes_attempts,1.0,1.0,1.0,0.501289,0.2775,0.73,complete
no_attack,0,P3-Persist,20,external_delay_defer_proxy,defer_rate;mean_delay_ms;p95_delay_ms,1.0,1.0,1.0,0.502,0.3,0.7,complete
no_attack,0,P3-Persist,20,internal_path_diagnostic,cache_path_rate;reserve_path_rate;host_scan_path_rate;budget_skip_path_rate;duplicate_filter_path_rate;rl_path_rate;mean_aes_attempts,1.0,1.0,1.0,0.5026,0.264969,0.743781,complete
no_attack,60,BudgetDoS,20,external_delay_defer_proxy,defer_rate;mean_delay_ms;p95_delay_ms,0.5,0.5,0.5,0.5,0.5,0.5,complete
no_attack,60,BudgetDoS,20,internal_path_diagnostic,cache_path_rate;reserve_path_rate;host_scan_path_rate;budget_skip_path_rate;duplicate_filter_path_rate;rl_path_rate;mean_aes_attempts,1.0,1.0,1.0,0.501919,0.298719,0.702531,complete
no_attack,60,P3-NoPersist,20,external_delay_defer_proxy,defer_rate;mean_delay_ms;p95_delay_ms,0.5,0.5,0.5,0.5,0.5,0.5,complete
no_attack,60,P3-NoPersist,20,internal_path_diagnostic,cache_path_rate;reserve_path_rate;host_scan_path_rate;budget_skip_path_rate;duplicate_filter_path_rate;rl_path_rate;mean_aes_attempts,1.0,1.0,1.0,0.502,0.3,0.7,complete
no_attack,60,P3-Persist,20,external_delay_defer_proxy,defer_rate;mean_delay_ms;p95_delay_ms,0.5,0.5,0.5,0.5,0.5,0.5,complete
no_attack,60,P3-Persist,20,internal_path_diagnostic,cache_path_rate;reserve_path_rate;host_scan_path_rate;budget_skip_path_rate;duplicate_filter_path_rate;rl_path_rate;mean_aes_attempts,1.0,1.0,1.0,0.502,0.3,0.7,complete
