scenario,duplicate_filter_window_s,method,feature,n_pairs,bonded_mean,nonbonded_mean,paired_difference_mean,paired_difference_sd,paired_difference_ci95_low,paired_difference_ci95_high,paired_effect_dz,ks_distance,wasserstein_distance
heavy_flood,60,P3-NoPersist,mean_delay_ms,20,83.333333,83.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-NoPersist,p95_delay_ms,20,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-NoPersist,cache_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-NoPersist,reserve_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-NoPersist,host_scan_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-NoPersist,budget_skip_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-NoPersist,duplicate_filter_path_rate,20,0.916667,0.916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-NoPersist,rl_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-NoPersist,mean_aes_attempts,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-Persist,defer_rate,20,0.003333,0.003333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-Persist,mean_delay_ms,20,3.333333,3.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-Persist,p95_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-Persist,cache_path_rate,20,0.956667,0.0,0.956667,0.0,0.956667,0.956667,0.0,1.0,0.956667
heavy_flood,60,P3-Persist,reserve_path_rate,20,0.003333,0.08,-0.076667,0.0,-0.076667,-0.076667,0.0,1.0,0.076667
heavy_flood,60,P3-Persist,host_scan_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-Persist,budget_skip_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-Persist,duplicate_filter_path_rate,20,0.036667,0.916667,-0.88,0.0,-0.88,-0.88,0.0,1.0,0.88
heavy_flood,60,P3-Persist,rl_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy_flood,60,P3-Persist,mean_aes_attempts,20,1.68,40.32,-38.64,0.0,-38.64,-38.64,0.0,1.0,38.64
medium_flood,0,BudgetDoS,defer_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,0,BudgetDoS,mean_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,0,BudgetDoS,p95_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,0,BudgetDoS,cache_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,0,BudgetDoS,reserve_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,0,BudgetDoS,host_scan_path_rate,20,0.0,0.084167,-0.084167,0.001481,-0.084816,-0.083517,-56.824397,1.0,0.084133
medium_flood,0,BudgetDoS,budget_skip_path_rate,20,0.0,0.915833,-0.915833,0.001481,-0.916483,-0.915184,-618.318295,1.0,0.915867
medium_flood,0,BudgetDoS,duplicate_filter_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,0,BudgetDoS,rl_path_rate,20,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
medium_flood,0,BudgetDoS,mean_aes_attempts,20,1.0,42.42,-41.42,0.74636,-41.747107,-41.092893,-55.496038,1.0,41.403148
medium_flood,0,P3-NoPersist,defer_rate,20,0.0,0.915167,-0.915167,0.002016,-0.91605,-0.914283,-453.887357,1.0,0.915239
medium_flood,0,P3-NoPersist,mean_delay_ms,20,0.0,915.166667,-915.166667,2.016018,-916.050226,-914.283108,-453.947667,1.0,915.238683
medium_flood,0,P3-NoPersist,p95_delay_ms,20,0.0,1000.0,-1000.0,0.0,-1000.0,-1000.0,0.0,1.0,1000.0
medium_flood,0,P3-NoPersist,cache_path_rate,20,0.996667,0.0,0.996667,0.0,0.996667,0.996667,0.0,1.0,0.996667
medium_flood,0,P3-NoPersist,reserve_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,0,P3-NoPersist,host_scan_path_rate,20,0.0015,0.084833,-0.083333,0.002163,-0.084281,-0.082385,-38.525691,1.0,0.083269
medium_flood,0,P3-NoPersist,budget_skip_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
