suite,m8_experiment,m8_scenario,run_id,duration_s,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,unique_attack_rpa,duplicate_filter_window_s,persist_reserve,persist_k,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
m8_algorithm_novelty,main,medium_flood,m8_main_medium_flood_s20260613,1800,512,8,100.0,1000.0,True,0,200,1,20260613,BudgetDoS,True,300,1500,1261471,788.419375,0.60241,0.0,0.0,0.0,43585.92,0.39759,0,0,0,0,0,129,1056,23015,151376.52,4192
m8_algorithm_novelty,main,medium_flood,m8_main_medium_flood_s20260613,1800,512,8,100.0,1000.0,True,0,200,1,20260613,P3-NoPersist,True,300,1500,1260003,597.440967,0.794051,0,0.0,0.0,44432.64,0.208584,0,0,0,0,2026,80,42,2093,151200.36,5232
m8_algorithm_novelty,main,medium_flood,m8_main_medium_flood_s20260613,1800,512,8,100.0,1000.0,True,0,200,1,20260613,P3-Persist,True,300,1500,1340147,524.519374,0.961973,0,0.0,0.0,45097.92,0.042545,159,0,0,0,2341,44,12,2090,160817.64,6832
m8_algorithm_novelty,main,medium_flood,m8_main_medium_flood_s20260613,1800,512,8,100.0,1000.0,True,0,200,1,20260613,Oracle-Offline,True,300,1500,2656,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,318.72,0
m8_algorithm_novelty,main,medium_flood,m8_main_medium_flood_s20260614,1800,512,8,100.0,1000.0,True,0,200,1,20260614,Random-RL,True,300,1500,14676371,5812.424158,1.0,0,0.0,0.0,506278.08,0.0,0,0,0,0,0,1626,0,0,1761164.52,4128
m8_algorithm_novelty,main,medium_flood,m8_main_medium_flood_s20260614,1800,512,8,100.0,1000.0,True,0,200,1,20260614,AdaptiveRateLimit,True,300,1500,1261493,797.403919,0.626535,0.0,0.0,0.0,44009.28,0.373465,0,0,0,0,0,89,943,22930,151379.16,64
m8_algorithm_novelty,main,medium_flood,m8_main_medium_flood_s20260614,1800,512,8,100.0,1000.0,True,0,200,1,20260614,BudgetDoS,True,300,1500,1261493,797.403919,0.626535,0.0,0.0,0.0,44009.28,0.373465,0,0,0,0,0,89,943,22930,151379.16,4192
m8_algorithm_novelty,main,medium_flood,m8_main_medium_flood_s20260614,1800,512,8,100.0,1000.0,True,0,200,1,20260614,P3-NoPersist,True,300,1500,1260005,647.484584,0.770693,0.0,0.0,0.0,44472.96,0.231287,0,0,0,0,1880,61,43,2082,151200.6,5232
m8_algorithm_novelty,main,medium_flood,m8_main_medium_flood_s20260614,1800,512,8,100.0,1000.0,True,0,200,1,20260614,P3-Persist,True,300,1500,1336116,550.294893,0.961584,0.0,0.0,0.0,45017.28,0.042376,151,0,0,0,2230,35,7,2078,160333.92,6832
m8_algorithm_novelty,main,medium_flood,m8_main_medium_flood_s20260614,1800,512,8,100.0,1000.0,True,0,200,1,20260614,Oracle-Offline,True,300,1500,2525,1.0,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,303.0,0
