run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,observation_loss_rate_requested,generated_event_count,observed_event_count,dropped_event_count,actual_observation_loss_rate,generated_legit_event_count,observed_legit_event_count,dropped_legit_event_count,actual_legit_observation_loss_rate,generated_background_event_count,observed_background_event_count,dropped_background_event_count,actual_background_observation_loss_rate,generated_attack_event_count,observed_attack_event_count,dropped_attack_event_count,actual_attack_observation_loss_rate,offered_legit_resolution_rate,observed_legit_resolution_rate,false_defer_observed_legit_rate,reserve_grant_background_count,duplicate_filter_background_count,cache_hit_background_count,host_scan_background_count,budget_skip_background_count
m13_main_e5_l0_d5000_s20260626,P3-Persist,True,300,1500,1383502,630.297039,0.85309,0,0.0,0.0,0,100.0,100.0,33566.4,0.153517,245,0,0,0,1924,4,26,22381,166020.24,6832,0.0,454012,454012,0,0.0,2573,2573,0,0.0,124909,124909,0,0.0,250412,250412,0,0.0,0.85309,0.85309,0.153517,0,0,0,831,92884
m13_main_e5_l0_d5000_s20260626,P3-NoPersist,True,300,1500,1260040,816.088083,0.600078,0.0,0.0,0.0,0.0,0.0,0.0,33566.4,0.399922,0,0,0,0,1499,5,53,22381,151204.8,5232,0.0,454012,454012,0,0.0,2573,2573,0,0.0,124909,124909,0,0.0,250412,250412,0,0.0,0.600078,0.600078,0.399922,0,0,0,830,92884
m13_main_e5_l0_d5000_s20260626,BudgetDoS,True,300,1500,1261527,823.451044,0.595414,0.0,0.0,0.0,0.0,0.0,0.0,33566.4,0.404586,0,0,0,0,0,5,1041,248747,151383.24,4192,0.0,454012,454012,0,0.0,2573,2573,0,0.0,124909,124909,0,0.0,250412,250412,0,0.0,0.595414,0.595414,0.404586,0,0,0,830,124079
