device_class,window_id,candidate_addr_count,repeat_addr_count,repeat_fraction,event_repeat_fraction,median_interarrival_s,p95_interarrival_s,window_repeat_ge2_W60,window_repeat_ge2_W120,rssi_mean_dbm,rssi_std_db
smartphone,on_1,34,31,0.911765,0.999913,0.189,0.525,31,31,-77.39,12.66
smartphone,on_2,29,27,0.931034,0.999931,0.252,0.526,27,27,-75.29,9.86
