config_id,method,trace_scope,event_count,legit_candidate_event_count,ambient_unknown_event_count,legit_candidate_addr_count,cache_size,duplicate_filter_window_s,budget_window_s,budget_per_window,persist_k,persist_reserve,rl_capacity,legit_rssi_threshold_dbm,d_rv_window_s,d_rv_k,legit_non_budget_skip_fraction,legit_resolution_path_fraction,ambient_budget_skip_fraction,d_rv_ge2_W60_addr_count,d_rv_ge2_W60_legit_addr_count,d_rv_ge2_W60_ambient_addr_count,rl_hit_legit_count,rl_hit_ambient_count,reserve_grant_legit_count,reserve_grant_ambient_count,duplicate_filter_legit_count,duplicate_filter_ambient_count,cache_hit_legit_count,cache_hit_ambient_count,host_scan_legit_count,host_scan_ambient_count,budget_skip_legit_count,budget_skip_ambient_count,ground_truth_note
120,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,0.500,60,100,1,8,8,-90,60,2,0.993529,0.986389,0.407624,70,23,47,8,0,0,320,288,20456,39763,0,15,4041,261,17077,controlled-window labels only; no IRK identity ground truth
121,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.500,60,100,1,8,8,-85,60,2,0.993610,0.987941,0.407012,70,21,49,8,0,0,320,228,20549,39712,0,13,4043,257,17099,controlled-window labels only; no IRK identity ground truth
122,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.500,60,100,1,8,8,-80,60,2,0.993610,0.987941,0.407012,70,21,49,8,0,0,320,228,20549,39712,0,13,4043,257,17099,controlled-window labels only; no IRK identity ground truth
123,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,35585,46644,20,64,0.500,60,100,1,8,8,-75,60,2,0.992778,0.986371,0.396986,70,20,50,8,0,0,320,228,23763,35080,0,12,4044,257,18517,controlled-window labels only; no IRK identity ground truth
124,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,1.000,60,100,1,8,8,-90,60,2,0.997719,0.990405,0.245143,70,23,47,8,0,0,312,295,27294,39925,0,15,4018,92,10270,controlled-window labels only; no IRK identity ground truth
125,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,1.000,60,100,1,8,8,-85,60,2,0.997762,0.991969,0.244722,70,21,49,8,0,0,312,233,27397,39874,0,13,4021,90,10281,controlled-window labels only; no IRK identity ground truth
126,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,1.000,60,100,1,8,8,-80,60,2,0.997762,0.991969,0.244722,70,21,49,8,0,0,312,233,27397,39874,0,13,4021,90,10281,controlled-window labels only; no IRK identity ground truth
127,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,35585,46644,20,64,1.000,60,100,1,8,8,-75,60,2,0.997471,0.990923,0.235743,70,20,50,8,0,0,312,233,31314,35242,0,12,4022,90,10996,controlled-window labels only; no IRK identity ground truth
128,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,0.100,60,200,1,8,8,-90,60,2,0.987629,0.986389,0.730558,70,23,47,8,0,0,320,50,2897,39763,0,15,8071,499,30606,controlled-window labels only; no IRK identity ground truth
129,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.100,60,200,1,8,8,-85,60,2,0.988015,0.987941,0.729714,70,21,49,8,0,0,320,3,2962,39712,0,13,8073,482,30656,controlled-window labels only; no IRK identity ground truth
130,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.100,60,200,1,8,8,-80,60,2,0.988015,0.987941,0.729714,70,21,49,8,0,0,320,3,2962,39712,0,13,8073,482,30656,controlled-window labels only; no IRK identity ground truth
131,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,35585,46644,20,64,0.100,60,200,1,8,8,-75,60,2,0.986455,0.986371,0.756432,70,20,50,8,0,0,320,3,2967,35080,0,12,8074,482,35283,controlled-window labels only; no IRK identity ground truth
132,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,0.200,60,200,1,8,8,-90,60,2,0.988075,0.986389,0.657588,70,23,47,8,0,0,320,68,5962,39763,0,15,8063,481,27549,controlled-window labels only; no IRK identity ground truth
133,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.200,60,200,1,8,8,-85,60,2,0.988264,0.987941,0.656590,70,21,49,8,0,0,320,13,6042,39712,0,13,8065,472,27584,controlled-window labels only; no IRK identity ground truth
134,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.200,60,200,1,8,8,-80,60,2,0.988264,0.987941,0.656590,70,21,49,8,0,0,320,13,6042,39712,0,13,8065,472,27584,controlled-window labels only; no IRK identity ground truth
135,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,35585,46644,20,64,0.200,60,200,1,8,8,-75,60,2,0.986736,0.986371,0.662014,70,20,50,8,0,0,320,13,7379,35080,0,12,8066,472,30879,controlled-window labels only; no IRK identity ground truth
136,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,0.500,60,200,1,8,8,-90,60,2,0.995785,0.990405,0.313816,70,23,47,8,0,0,312,217,20456,39925,0,15,7979,170,13147,controlled-window labels only; no IRK identity ground truth
137,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.500,60,200,1,8,8,-85,60,2,0.995872,0.991969,0.313418,70,21,49,8,0,0,312,157,20549,39874,0,13,7983,166,13167,controlled-window labels only; no IRK identity ground truth
138,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,0.500,60,200,1,8,8,-80,60,2,0.995872,0.991969,0.313418,70,21,49,8,0,0,312,157,20549,39874,0,13,7983,166,13167,controlled-window labels only; no IRK identity ground truth
139,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,35585,46644,20,64,0.500,60,200,1,8,8,-75,60,2,0.995335,0.990923,0.312688,70,20,50,8,0,0,312,157,23763,35242,0,12,7984,166,14585,controlled-window labels only; no IRK identity ground truth
140,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40335,41894,23,64,1.000,60,200,1,8,8,-90,60,2,0.999727,0.998190,0.154652,70,23,47,8,0,0,296,62,27294,40239,0,15,7825,11,6479,controlled-window labels only; no IRK identity ground truth
141,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,1.000,60,200,1,8,8,-85,60,2,0.999776,0.999776,0.154483,70,21,49,8,0,0,296,0,27397,40188,0,13,7828,9,6490,controlled-window labels only; no IRK identity ground truth
142,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,40218,42011,21,64,1.000,60,200,1,8,8,-80,60,2,0.999776,0.999776,0.154483,70,21,49,8,0,0,296,0,27397,40188,0,13,7828,9,6490,controlled-window labels only; no IRK identity ground truth
143,P3-Persist-real-trace-shim,H2_redmi_k80_controlled_windows,82229,35585,46644,20,64,1.000,60,200,1,8,8,-75,60,2,0.999747,0.999747,0.154468,70,20,50,8,0,0,296,0,31314,35556,0,12,7829,9,7205,controlled-window labels only; no IRK identity ground truth
