run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,observation_loss_rate_requested,generated_event_count,observed_event_count,dropped_event_count,actual_observation_loss_rate,generated_legit_event_count,observed_legit_event_count,dropped_legit_event_count,actual_legit_observation_loss_rate,generated_background_event_count,observed_background_event_count,dropped_background_event_count,actual_background_observation_loss_rate,generated_attack_event_count,observed_attack_event_count,dropped_attack_event_count,actual_attack_observation_loss_rate,offered_legit_resolution_rate,observed_legit_resolution_rate,false_defer_observed_legit_rate,reserve_grant_background_count,duplicate_filter_background_count,cache_hit_background_count,host_scan_background_count,budget_skip_background_count
m13_main_e5_l40_d5000_s20260617,P3-Persist,True,300,1500,1340665,1099.807219,0.799344,0,0.0,100.0,0.0,100.0,100.0,34151.04,0.212459,160,0,0,0,1026,8,30,13462,160879.8,6832,0.4,453991,272450,181541,0.399878,2620,1525,1095,0.417939,125192,75075,50117,0.400321,250326,150457,99869,0.398956,0.465267,0.799344,0.212459,0,0,0,798,55602
m13_main_e5_l40_d5000_s20260617,P3-NoPersist,True,300,1500,1260039,1412.599776,0.584918,0.0,0.0,0.0,0.0,0.0,0.0,34191.36,0.415082,0,0,0,0,847,6,68,13462,151204.68,5232,0.4,453991,272450,181541,0.399878,2620,1525,1095,0.417939,125192,75075,50117,0.400321,250326,150457,99869,0.398956,0.340458,0.584918,0.415082,0,0,0,798,55602
m13_main_e5_l40_d5000_s20260617,BudgetDoS,True,300,1500,1260870,1440.994286,0.57377,0,0.0,0.0,0.0,0.0,0.0,34211.52,0.42623,0,0,0,0,0,5,650,148760,151304.4,4192,0.4,453991,272450,181541,0.399878,2620,1525,1095,0.417939,125192,75075,50117,0.400321,250326,150457,99869,0.398956,0.333969,0.57377,0.42623,0,0,0,798,74277
