run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,observation_loss_rate_requested,generated_event_count,observed_event_count,dropped_event_count,actual_observation_loss_rate,generated_legit_event_count,observed_legit_event_count,dropped_legit_event_count,actual_legit_observation_loss_rate,generated_background_event_count,observed_background_event_count,dropped_background_event_count,actual_background_observation_loss_rate,generated_attack_event_count,observed_attack_event_count,dropped_attack_event_count,actual_attack_observation_loss_rate,offered_legit_resolution_rate,observed_legit_resolution_rate,false_defer_observed_legit_rate,reserve_grant_background_count,duplicate_filter_background_count,cache_hit_background_count,host_scan_background_count,budget_skip_background_count
m13_main_e5_l40_d5000_s20260616,P3-Persist,True,300,1500,1344695,1123.387636,0.798,0,0.0,0.0,0.0,65.0,100.0,33163.2,0.208,168,0,0,0,1000,6,17,13440,161363.4,6832,0.4,453009,271522,181487,0.400626,2496,1500,996,0.399038,125220,75225,49995,0.399257,249605,149428,100177,0.401342,0.479567,0.798,0.208,0,0,0,849,55589
m13_main_e5_l40_d5000_s20260616,P3-NoPersist,True,300,1500,1260038,1605.143949,0.523333,0,0.0,0.0,0.0,0.0,0.0,33183.36,0.477333,0,0,0,0,740,7,39,13440,151204.56,5232,0.4,453009,271522,181487,0.400626,2496,1500,996,0.399038,125220,75225,49995,0.399257,249605,149428,100177,0.401342,0.314503,0.523333,0.477333,0,0,0,847,55591
m13_main_e5_l40_d5000_s20260616,BudgetDoS,True,300,1500,1260856,1462.709977,0.574667,0.0,0.0,0.0,0.0,0.0,0.0,33183.36,0.425333,0,0,0,0,0,6,638,147782,151302.72,4192,0.4,453009,271522,181487,0.400626,2496,1500,996,0.399038,125220,75225,49995,0.399257,249605,149428,100177,0.401342,0.345353,0.574667,0.425333,0,0,0,848,74377
