suite,m11_experiment,m11_scenario,run_id,duration_s,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,unique_attack_rpa,duplicate_filter_window_s,attack_strategy,attack_addr_pool_size,attack_repeats_per_addr,attack_repeat_interval_s,attack_rotation_s,persist_reserve,persist_k,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_attack_event_count,dup_removable_fraction,estimated_energy_uJ,sram_bytes
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260621,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260621,BudgetDoS,True,300,1500,1260959,1295.94964,0.381419,0,0.0,0.0,45581.76,0.618581,0,0,0,0,0,14,1578,247974,250235.0,0.0,151315.08,4192
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260621,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260621,P3-Persist,True,300,1500,1375429,563.46948,0.95688,0,0,0.0,45722.88,0.049392,229,0,0,0,2194,5,3,22613,24881.0,0.0,165051.48,6832
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260618,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260618,BudgetDoS,True,300,1500,1261400,896.517413,0.565742,0,0.0,0.0,45360.0,0.434258,0,0,0,0,0,7,1080,247265,249515.0,0.0,151368.0,4192
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260618,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260618,P3-Persist,True,300,1500,1356780,572.481013,0.952955,0.0,0.0,0.0,45420.48,0.051468,192,0,0,0,2162,4,5,22568,24821.0,0.0,162813.6,6832
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260619,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260619,BudgetDoS,True,300,1500,1261510,830.487163,0.591511,0,0.0,0.0,45622.08,0.408489,0,0,0,0,0,9,1049,246989,249252.0,0.0,151381.2,4192
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260619,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260619,P3-Persist,True,300,1500,1365347,555.470708,0.957165,0.0,0.0,0.0,45722.88,0.046729,209,0,0,0,2235,3,10,22666,24934.0,0.0,163841.64,6832
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260620,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260620,BudgetDoS,True,300,1500,1261463,854.07109,0.58081,0,0.0,0.0,45864.0,0.41919,0,0,0,0,0,14,1066,248245,250520.0,0.0,151375.56,4192
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260620,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260620,P3-Persist,True,300,1500,1364347,559.387864,0.959103,0,0.0,0.0,46025.28,0.047582,207,0,0,0,2207,6,4,22729,25012.0,0.0,163721.64,6832
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260622,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260622,BudgetDoS,True,300,1500,1261543,813.89871,0.614105,0.0,0.0,0.0,46166.4,0.385895,0,0,0,0,0,7,974,247375,249665.0,0.0,151385.16,4192
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260622,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260622,P3-Persist,True,300,1500,1353755,560.329056,0.957211,0.0,0.0,0.0,46206.72,0.049128,186,0,0,0,2216,3,4,22523,24815.0,0.0,162450.6,6832
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260623,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260623,BudgetDoS,True,300,1500,1261451,864.007534,0.56677,0.0,0.0,0.0,46347.84,0.43323,0,0,0,0,0,9,1116,247967,250266.0,0.0,151374.12,4192
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260623,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260623,P3-Persist,True,300,1500,1349723,547.999594,0.956134,0,0.0,0.0,46448.64,0.046972,178,0,0,0,2271,3,5,22613,24917.0,0.0,161966.76,6832
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260624,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260624,BudgetDoS,True,300,1500,1261502,832.674587,0.583365,0,0.0,0.0,45521.28,0.416635,0,0,0,0,0,13,1082,247799,250057.0,0.0,151380.24,4192
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260624,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260624,P3-Persist,True,300,1500,1358292,546.816425,0.956488,0.0,0.0,0.0,45702.72,0.049288,195,0,0,0,2273,4,6,22713,24980.0,0.0,162995.04,6832
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260625,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260625,BudgetDoS,True,300,1500,1261487,844.93436,0.57401,0,0.0,0.0,45541.44,0.42599,0,0,0,0,0,6,1108,247955,250214.0,0.0,151378.44,4192
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260625,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260625,P3-Persist,True,300,1500,1355769,544.485542,0.957324,0.0,0.0,0.0,45601.92,0.046521,190,0,0,0,2288,3,3,22499,24761.0,0.0,162692.28,6832
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260626,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260626,BudgetDoS,True,300,1500,1261503,833.775942,0.585753,0,0.0,0.0,45884.16,0.414247,0,0,0,0,0,10,1070,247243,249519.0,0.0,151380.36,4192
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260626,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260626,P3-Persist,True,300,1500,1364845,550.784907,0.95935,0.0,0.0,0.0,46045.44,0.047619,208,0,0,0,2255,2,6,22475,24759.0,0.0,163781.4,6832
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260627,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260627,BudgetDoS,True,300,1500,1261491,840.433711,0.583366,0,0,0,45722.88,0.416634,0,0,0,0,0,10,1072,248313,250581.0,0.0,151378.92,4192
m11_adaptive_adversary,adaptive_adversary,heavy_flood,m11_unique_dup0_s20260627,1800,512,8,1000.0,10000.0,True,0,unique,0,1,0.0,,200,1,20260627,P3-Persist,True,300,1500,1362822,555.347188,0.95375,0.0,0.0,0.0,45884.16,0.051691,204,0,0,0,2241,3,9,22648,24924.0,0.0,163538.64,6832
