run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
m14_confirm_pool320_r1_p120_dup0_s20260620,P3-Persist,True,300,1500,3780006,2493.407652,0.596146,0.0,0.0,0.0,0.0,15.0,83.0,146321.28,0.40464,18,4982,0,0,1479,13,71,22264,453600.72,6832
m14_confirm_pool320_r1_p120_dup0_s20260620,BudgetDoS,True,300,1500,1261463,854.07109,0.58081,0,0.0,0.0,0.0,0.0,0.0,45864.0,0.41919,0,0,0,0,0,14,1066,248245,151375.56,4192
