run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,observation_loss_rate_requested,generated_event_count,observed_event_count,dropped_event_count,actual_observation_loss_rate,generated_legit_event_count,observed_legit_event_count,dropped_legit_event_count,actual_legit_observation_loss_rate,generated_background_event_count,observed_background_event_count,dropped_background_event_count,actual_background_observation_loss_rate,generated_attack_event_count,observed_attack_event_count,dropped_attack_event_count,actual_attack_observation_loss_rate,offered_legit_resolution_rate,observed_legit_resolution_rate,false_defer_observed_legit_rate,reserve_grant_background_count,duplicate_filter_background_count,cache_hit_background_count,host_scan_background_count,budget_skip_background_count
m13_main_e15_l0_d1000_s20260624,P3-Persist,True,300,1500,1358292,546.816425,0.956488,0.0,0.0,0.0,0,100.0,100.0,45702.72,0.049288,195,0,0,0,2273,4,6,22713,162995.04,6832,0.0,333963,333963,0,0.0,2597,2597,0,0.0,25401,25401,0,0.0,250057,250057,0,0.0,0.956488,0.956488,0.049288,0,0,0,229,18890
m13_main_e15_l0_d1000_s20260624,P3-NoPersist,True,300,1500,1260007,830.591299,0.584136,0,0.0,0.0,0.0,0.0,0.0,45521.28,0.415864,0,0,0,0,1497,13,71,22714,151200.84,5232,0.0,333963,333963,0,0.0,2597,2597,0,0.0,25401,25401,0,0.0,250057,250057,0,0.0,0.584136,0.584136,0.415864,0,0,0,229,18890
m13_main_e15_l0_d1000_s20260624,BudgetDoS,True,300,1500,1261502,832.674587,0.583365,0,0.0,0.0,0.0,0.0,0.0,45521.28,0.416635,0,0,0,0,0,13,1082,247799,151380.24,4192,0.0,333963,333963,0,0.0,2597,2597,0,0.0,25401,25401,0,0.0,250057,250057,0,0.0,0.583365,0.583365,0.416635,0,0,0,229,25172
