suite,m6_review_scenario,run_id,duration_s,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,unique_attack_rpa,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260613,1800,512,8,100.0,0.0,True,20260613,P3-NoCache,True,300,1500,1261535,543.06285,0.875283,0,0.0,100.0,0.0,0.147325,0,0,0,0,0,788,16,0,151384.2,4208
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260613,1800,512,8,100.0,0.0,True,20260613,P3-NoBudget,True,300,1500,1406677,530.021477,1.0,0.0,0.0,0.0,0.0,0.007536,0,0,0,0,2372,269,0,0,168801.24,5168
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260614,1800,512,8,100.0,0.0,True,20260614,StaticRL,True,300,1500,1808819,712.413942,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1064,0,0,217058.28,0
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260614,1800,512,8,100.0,0.0,True,20260614,ZephyrCache,True,300,1500,1407178,554.225286,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,2259,270,0,0,168861.36,1024
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260614,1800,512,8,100.0,0.0,True,20260614,BudgetDoS,True,300,1500,1260467,566.756745,0.875935,0.0,0.0,0.0,0.0,0.124065,0,0,0,0,0,749,315,0,151256.04,4192
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260614,1800,512,8,100.0,0.0,True,20260614,P3-NoPersist,True,300,1500,1238338,496.526864,0.982276,0.0,0.0,0.0,0.0,0.025207,0,0,0,0,2246,238,3,0,148600.56,5232
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260614,1800,512,8,100.0,0.0,True,20260614,P3-NoCache,True,300,1500,1260467,566.756745,0.875935,0.0,0.0,100.0,0.0,0.140213,0,0,0,0,0,749,21,0,151256.04,4208
m6_review_closure,long5_normal_capacity,m6close_long5_normal_capacity_s20260614,1800,512,8,100.0,0.0,True,20260614,P3-NoBudget,True,300,1500,1405166,553.432848,1.0,0,0.0,0.0,0.0,0.007877,0,0,0,0,2259,266,0,0,168619.92,5168
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260610,1800,512,8,100.0,1000.0,True,20260610,StaticRL,True,300,1500,14321111,5769.988316,1.0,0.0,0.0,0.0,502750.08,0.0,0,0,0,0,0,1019,0,0,1718533.32,0
m6_review_closure,long5_medium_flood,m6close_long5_medium_flood_s20260610,1800,512,8,100.0,1000.0,True,20260610,ZephyrCache,True,300,1500,13941153,5616.902901,1.0,0.0,0.0,0.0,502750.08,0.0,0,0,0,0,2205,268,0,0,1672938.36,1024
