run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,suite,m14_phase,m14_scenario,attack_strategy,attack_addr_pool_size,attack_repeats_per_addr,attack_repeat_interval_s,unique_attack_rpa,duplicate_filter_window_s,persist_reserve,persist_k,seed,estimated_attack_event_count,dup_removable_fraction
m14_confirm_unique_dup0_s20260627,P3-Persist,True,300,1500,1362822,555.347188,0.95375,0.0,0.0,0.0,0.0,100.0,100.0,45884.16,0.051691,204,0,0,0,2241,3,9,22648,163538.64,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,0,200,1,20260627,24924.0,0.0
m14_confirm_unique_dup0_s20260628,P3-Persist,True,300,1500,1355269,565.874322,0.955325,0,0.0,100.0,0,100.0,100.0,46247.04,0.055445,189,0,0,0,2190,3,11,22708,162632.28,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,0,200,1,20260628,25002.0,0.0
m14_confirm_unique_dup0_s20260629,P3-Persist,True,300,1500,1367868,561.983566,0.955634,0.0,0.0,0.0,0.0,35.0,100.0,45763.2,0.048685,214,0,0,0,2202,6,9,22314,164144.16,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,0,200,1,20260629,24584.0,0.0
m14_confirm_unique_dup60_s20260610,P3-Persist,True,300,1500,1358289,565.718034,0.928102,0,0,0,0,100.0,100.0,45460.8,0.079629,195,0,68,0,2194,3,11,22566,162994.68,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260610,24821.0,0.0
m14_confirm_unique_dup60_s20260611,P3-Persist,True,300,1500,1351231,569.179023,0.926258,0.0,0.0,0.0,0,100,100.0,45420.48,0.082716,181,0,79,0,2180,6,9,22458,162147.72,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260611,24711.0,0.0
m14_confirm_unique_dup60_s20260612,P3-Persist,True,300,1500,1362829,571.177284,0.927683,0.0,0.0,0.0,0.0,100.0,100.0,45097.92,0.07776,204,0,76,0,2168,1,3,22513,163539.48,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260612,24750.0,0.0
m14_confirm_unique_dup60_s20260613,P3-Persist,True,300,1500,1370388,557.521562,0.937095,0.0,0.0,0.0,0,100.0,100.0,45662.4,0.067861,219,0,48,0,2224,3,5,22620,164446.56,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260613,24885.0,0.0
m14_confirm_unique_dup60_s20260614,P3-Persist,True,300,1500,1364837,574.184687,0.927429,0,0.0,0.0,0.0,65.0,100.0,46045.44,0.076863,208,0,63,0,2162,2,7,22583,163780.44,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260614,24867.0,0.0
m14_confirm_unique_dup60_s20260615,P3-Persist,True,300,1500,1356274,584.348988,0.926917,0,0,0.0,0,0.0,100.0,45823.68,0.07508,191,0,67,0,2117,3,9,22520,162752.88,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260615,24793.0,0.0
m14_confirm_unique_dup60_s20260616,P3-Persist,True,300,1500,1352745,588.405829,0.923664,0,0.0,0.0,0.0,100.0,100.0,45662.4,0.080755,184,0,73,0,2104,2,6,22439,162329.4,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260616,24704.0,0.0
m14_confirm_unique_dup60_s20260617,P3-Persist,True,300,1500,1365853,596.182017,0.923046,0,0.0,0.0,0.0,100.0,100.0,45239.04,0.081789,210,0,76,0,2066,2,10,22660,163902.36,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260617,24904.0,0.0
m14_confirm_unique_dup60_s20260618,P3-Persist,True,300,1500,1352245,588.188343,0.924407,0,0.0,0.0,0,100.0,100.0,45420.48,0.080016,183,0,71,0,2099,4,5,22568,162269.4,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260618,24821.0,0.0
m14_confirm_unique_dup60_s20260619,P3-Persist,True,300,1500,1360310,570.599832,0.928349,0.0,0.0,0.0,0,100.0,100.0,45722.88,0.075935,199,0,76,0,2168,3,10,22666,163237.2,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260619,24934.0,0.0
m14_confirm_unique_dup60_s20260620,P3-Persist,True,300,1500,1356275,570.582667,0.934723,0,0.0,0.0,0,100.0,100.0,46025.28,0.071176,191,0,59,0,2169,6,4,22729,162753.0,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260620,25012.0,0.0
m14_confirm_unique_dup60_s20260621,P3-Persist,True,300,1500,1368879,572.513174,0.937279,0,0.0,0.0,0.0,100.0,100.0,45722.88,0.068601,216,0,52,0,2155,5,3,22613,164265.48,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260621,24881.0,0.0
m14_confirm_unique_dup60_s20260622,P3-Persist,True,300,1500,1350728,581.9595,0.919572,0,0,0.0,0.0,100.0,100.0,46186.56,0.087163,180,0,94,0,2129,4,4,22523,162087.36,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260622,24814.0,0.0
m14_confirm_unique_dup60_s20260623,P3-Persist,True,300,1500,1347198,561.566486,0.931289,0,0.0,0.0,0,0.0,100.0,46448.64,0.071817,173,0,63,0,2217,3,5,22613,161663.76,6832,m14_adaptive_refinement,confirm,heavy_flood,unique,0,1,0.0,True,60,200,1,20260623,24917.0,0.0
