m14_phase,attack_strategy,attack_addr_pool_size,attack_repeats_per_addr,attack_repeat_interval_s,unique_attack_rpa,duplicate_filter_window_s,method,n,attack_aes_amplification_mean,attack_aes_amplification_sd,attack_aes_amplification_ci95_low,attack_aes_amplification_ci95_high,legit_resolution_rate_mean,legit_resolution_rate_sd,legit_resolution_rate_ci95_low,legit_resolution_rate_ci95_high,false_defer_legit_rate_mean,false_defer_legit_rate_sd,false_defer_legit_rate_ci95_low,false_defer_legit_rate_ci95_high,reserve_grant_attack_count_mean,reserve_grant_attack_count_sd,reserve_grant_attack_count_ci95_low,reserve_grant_attack_count_ci95_high,duplicate_filter_attack_count_mean,duplicate_filter_attack_count_sd,duplicate_filter_attack_count_ci95_low,duplicate_filter_attack_count_ci95_high,dup_removable_fraction_mean,dup_removable_fraction_sd,dup_removable_fraction_ci95_low,dup_removable_fraction_ci95_high
confirm,pool320_r1_p120,320,1,120.0,False,0,P3-Persist,20,146162.016,374.763729,145986.621176,146337.410824,0.640442,0.020833,0.630692,0.650192,0.360126,0.020685,0.350445,0.369807,4984.4,3.393492,4982.811797,4985.988203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confirm,pool320_r1_p120,320,1,120.0,False,60,BudgetDoS,20,45644.256,351.860475,45479.580229,45808.931771,0.078791,0.002143,0.077788,0.079794,0.921209,0.002143,0.920206,0.922212,0.0,0.0,0.0,0.0,241926.95,470.723572,241706.644587,242147.255413,0.96799,6e-05,0.967962,0.968019
confirm,pool320_r1_p120,320,1,120.0,False,60,P3-Persist,20,146192.256,384.984053,146012.077917,146372.434083,0.673232,0.024362,0.66183,0.684633,0.327297,0.024281,0.315933,0.338661,4985.35,3.923948,4983.513536,4987.186464,241926.95,470.723572,241706.644587,242147.255413,0.970628,8.9e-05,0.970587,0.97067
confirm,pool320_r1_p135,320,1,135.0,False,0,BudgetDoS,20,45648.288,350.532672,45484.233659,45812.342341,0.56632,0.066637,0.535133,0.597507,0.43368,0.066637,0.402493,0.464867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confirm,pool320_r1_p135,320,1,135.0,False,0,P3-Persist,20,146162.016,374.763729,145986.621176,146337.410824,0.640442,0.020833,0.630692,0.650192,0.360126,0.020685,0.350445,0.369807,4984.4,3.393492,4982.811797,4985.988203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confirm,pool320_r1_p135,320,1,135.0,False,60,BudgetDoS,20,45644.256,351.860475,45479.580229,45808.931771,0.078791,0.002143,0.077788,0.079794,0.921209,0.002143,0.920206,0.922212,0.0,0.0,0.0,0.0,241926.95,470.723572,241706.644587,242147.255413,0.96799,6e-05,0.967962,0.968019
confirm,pool320_r1_p135,320,1,135.0,False,60,P3-Persist,20,146195.28,384.843731,146015.16759,146375.39241,0.67519,0.025995,0.663024,0.687356,0.325339,0.025956,0.313191,0.337487,4985.45,3.748333,4983.695726,4987.204274,241926.95,470.723572,241706.644587,242147.255413,0.970628,8.9e-05,0.970587,0.97067
confirm,pool320_r1_p75,320,1,75.0,False,0,BudgetDoS,20,45648.288,350.532672,45484.233659,45812.342341,0.56632,0.066637,0.535133,0.597507,0.43368,0.066637,0.402493,0.464867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confirm,pool320_r1_p75,320,1,75.0,False,0,P3-Persist,20,146162.016,374.763729,145986.621176,146337.410824,0.640442,0.020833,0.630692,0.650192,0.360126,0.020685,0.350445,0.369807,4984.4,3.393492,4982.811797,4985.988203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confirm,pool320_r1_p75,320,1,75.0,False,60,BudgetDoS,20,45644.256,351.860475,45479.580229,45808.931771,0.078791,0.002143,0.077788,0.079794,0.921209,0.002143,0.920206,0.922212,0.0,0.0,0.0,0.0,241926.95,470.723572,241706.644587,242147.255413,0.96799,6e-05,0.967962,0.968019
confirm,pool320_r1_p75,320,1,75.0,False,60,P3-Persist,20,146196.288,380.580514,146018.170837,146374.405163,0.674902,0.025825,0.662815,0.686988,0.325627,0.025774,0.313565,0.33769,4985.55,3.677456,4983.828898,4987.271102,241926.95,470.723572,241706.644587,242147.255413,0.970628,8.9e-05,0.970587,0.97067
confirm,pool320_r1_p90,320,1,90.0,False,0,BudgetDoS,20,45648.288,350.532672,45484.233659,45812.342341,0.56632,0.066637,0.535133,0.597507,0.43368,0.066637,0.402493,0.464867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confirm,pool320_r1_p90,320,1,90.0,False,0,P3-Persist,20,146162.016,374.763729,145986.621176,146337.410824,0.640442,0.020833,0.630692,0.650192,0.360126,0.020685,0.350445,0.369807,4984.4,3.393492,4982.811797,4985.988203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confirm,pool320_r1_p90,320,1,90.0,False,60,BudgetDoS,20,45644.256,351.860475,45479.580229,45808.931771,0.078791,0.002143,0.077788,0.079794,0.921209,0.002143,0.920206,0.922212,0.0,0.0,0.0,0.0,241926.95,470.723572,241706.644587,242147.255413,0.96799,6e-05,0.967962,0.968019
confirm,pool320_r1_p90,320,1,90.0,False,60,P3-Persist,20,146193.264,383.027435,146014.001643,146372.526357,0.674165,0.02545,0.662254,0.686076,0.326364,0.025378,0.314487,0.338241,4985.4,3.885195,4983.581673,4987.218327,241926.95,470.723572,241706.644587,242147.255413,0.970629,8.7e-05,0.970588,0.97067
confirm,unique,0,1,0.0,True,0,P3-Persist,20,45765.216,339.358074,45606.391532,45924.040468,0.955667,0.002115,0.954677,0.956656,0.049741,0.002291,0.048669,0.050814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confirm,unique,0,1,0.0,True,60,P3-Persist,20,45758.16,342.306252,45597.955743,45918.364257,0.928646,0.005201,0.926213,0.93108,0.076663,0.005557,0.074063,0.079264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
