attack_strategy,duplicate_filter_window_s,contrast,metric,n,mean,sd,ci95_low,ci95_high
pool320_r1_p75,60,P3-Persist_minus_BudgetDoS,legit_resolution_rate,20,0.596111,0.027157,0.583401,0.608821
pool320_r1_p75,60,P3-Persist_minus_BudgetDoS,false_defer_legit_rate,20,-0.595582,0.027091,-0.608261,-0.582903
pool320_r1_p75,60,P3-Persist_minus_BudgetDoS,reserve_grant_attack_count,20,4985.55,3.677456,4983.828898,4987.271102
pool320_r1_p75,60,P3-Persist_minus_BudgetDoS,duplicate_filter_attack_count,20,0.0,0.0,0.0,0.0
pool320_r1_p75,60,P3-Persist_minus_BudgetDoS,dup_removable_fraction,20,0.002638,6.4e-05,0.002608,0.002668
pool320_r1_p90,0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,100513.728,66.89514,100482.420111,100545.035889
pool320_r1_p90,0,P3-Persist_minus_BudgetDoS,legit_resolution_rate,20,0.074122,0.07707,0.038052,0.110191
pool320_r1_p90,0,P3-Persist_minus_BudgetDoS,false_defer_legit_rate,20,-0.073554,0.076933,-0.109559,-0.037548
pool320_r1_p90,0,P3-Persist_minus_BudgetDoS,reserve_grant_attack_count,20,4984.4,3.393492,4982.811797,4985.988203
pool320_r1_p90,0,P3-Persist_minus_BudgetDoS,duplicate_filter_attack_count,20,0.0,0.0,0.0,0.0
pool320_r1_p90,0,P3-Persist_minus_BudgetDoS,dup_removable_fraction,20,0.0,0.0,0.0,0.0
pool320_r1_p90,60,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,100549.008,81.818442,100510.71579,100587.30021
pool320_r1_p90,60,P3-Persist_minus_BudgetDoS,legit_resolution_rate,20,0.595374,0.026854,0.582806,0.607942
pool320_r1_p90,60,P3-Persist_minus_BudgetDoS,false_defer_legit_rate,20,-0.594845,0.026768,-0.607373,-0.582317
pool320_r1_p90,60,P3-Persist_minus_BudgetDoS,reserve_grant_attack_count,20,4985.4,3.885195,4983.581673,4987.218327
pool320_r1_p90,60,P3-Persist_minus_BudgetDoS,duplicate_filter_attack_count,20,0.0,0.0,0.0,0.0
pool320_r1_p90,60,P3-Persist_minus_BudgetDoS,dup_removable_fraction,20,0.002639,6.4e-05,0.002609,0.002669
