run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,observation_loss_rate_requested,generated_event_count,observed_event_count,dropped_event_count,actual_observation_loss_rate,generated_legit_event_count,observed_legit_event_count,dropped_legit_event_count,actual_legit_observation_loss_rate,generated_background_event_count,observed_background_event_count,dropped_background_event_count,actual_background_observation_loss_rate,generated_attack_event_count,observed_attack_event_count,dropped_attack_event_count,actual_attack_observation_loss_rate,offered_legit_resolution_rate,observed_legit_resolution_rate,false_defer_observed_legit_rate,reserve_grant_background_count,duplicate_filter_background_count,cache_hit_background_count,host_scan_background_count,budget_skip_background_count
m13_main_e15_l40_d100_s20260612,P3-Persist,True,300,1500,1319980,891.276165,0.935565,0,0,0.0,0,100.0,100.0,49916.16,0.072015,119,0,0,0,1355,3,6,13359,158397.6,6832,0.4,305438,183512,121926,0.399184,2598,1583,1015,0.390685,2425,1461,964,0.397526,249474,149840,99634,0.399376,0.570054,0.935565,0.072015,0,0,0,21,1056
m13_main_e15_l40_d100_s20260612,P3-NoPersist,True,300,1500,1260007,1705.016238,0.466835,0,0.0,0.0,0.0,0.0,0.0,49714.56,0.534428,0,0,0,0,718,14,92,13360,151200.84,5232,0.4,305438,183512,121926,0.399184,2598,1583,1015,0.390685,2425,1461,964,0.397526,249474,149840,99634,0.399376,0.28445,0.466835,0.534428,0,0,0,20,1056
m13_main_e15_l40_d100_s20260612,BudgetDoS,True,300,1500,1260869,1429.556689,0.55717,0.0,0.0,0.0,0.0,0.0,0.0,49734.72,0.44283,0,0,0,0,0,13,701,147373,151304.28,4192,0.4,305438,183512,121926,0.399184,2598,1583,1015,0.390685,2425,1461,964,0.397526,249474,149840,99634,0.399376,0.339492,0.55717,0.44283,0,0,0,20,1441
