rl_capacity,attack_rpa_rate_per_min,method,n,aes_attempts_total_mean,aes_attempts_total_sd,attack_aes_amplification_mean,attack_aes_amplification_sd,legit_resolution_rate_mean,legit_resolution_rate_sd,false_defer_legit_rate_mean,false_defer_legit_rate_sd
32,1000.0,TrustOnly,35,1204866.4,1623512.855523,262284.114286,346489.209648,1.0,0.0,0.007896,0.012704
32,1000.0,ZephyrCache,35,1178351.0,1572456.131711,262284.114286,346489.209648,1.0,0.0,0.0,0.0
32,10000.0,BudgetDoS,35,104410.171429,137350.557424,25679.542857,33733.066142,0.91041,0.127027,0.08959,0.127027
32,10000.0,Freq-RL,35,10555918.457143,13912658.00181,2602054.4,3423056.208473,1.0,0.0,0.0,0.0
32,10000.0,FullScan-Host,35,11750987.6,13981002.914657,2898732.457143,3441375.654884,1.0,0.0,0.0,0.0
32,10000.0,LRU-RL,35,10567125.057143,13935371.603342,2602054.4,3423056.208473,1.0,0.0,0.0,0.0
32,10000.0,P3-NoPersist,35,104234.628571,137164.814731,25679.542857,33733.066142,0.910654,0.126573,0.089445,0.126685
32,10000.0,StaticRL,35,10551036.057143,13904503.352595,2602054.4,3423056.208473,1.0,0.0,0.0,0.0
32,10000.0,TrustOnly,35,10567125.057143,13935371.603342,2602054.4,3423056.208473,1.0,0.0,0.01029,0.013734
32,10000.0,ZephyrCache,35,10539410.8,13883675.425194,2602054.4,3423056.208473,1.0,0.0,0.0,0.0
8,0.0,BudgetDoS,35,112776.742857,138218.917463,0.0,0.0,0.935162,0.082451,0.064838,0.082451
8,0.0,Freq-RL,35,182305.2,268626.059442,0.0,0.0,1.0,0.0,0.0,0.0
8,0.0,FullScan-Host,35,184553.942857,267608.844324,0.0,0.0,1.0,0.0,0.0,0.0
8,0.0,LRU-RL,35,208927.314286,319445.219952,0.0,0.0,1.0,0.0,0.0,0.0
8,0.0,P3-NoPersist,35,111954.571429,137895.178057,0.0,0.0,0.987306,0.023096,0.018231,0.026387
8,0.0,StaticRL,35,180687.428571,266553.035104,0.0,0.0,1.0,0.0,0.0,0.0
8,0.0,TrustOnly,35,208927.314286,319445.219952,0.0,0.0,1.0,0.0,0.022788,0.026877
8,0.0,ZephyrCache,35,141814.942857,197700.559705,0.0,0.0,1.0,0.0,0.0,0.0
8,100.0,BudgetDoS,35,113043.6,138032.26257,10414.914286,11076.632323,0.850688,0.118782,0.149312,0.118782
8,100.0,Freq-RL,35,301481.314286,418580.718507,28602.514286,35607.158459,1.0,0.0,0.0,0.0
8,100.0,FullScan-Host,35,307250.685714,417927.076978,29399.314286,35620.189893,1.0,0.0,0.0,0.0
8,100.0,LRU-RL,35,326196.257143,464517.823369,28602.514286,35607.158459,1.0,0.0,0.0,0.0
8,100.0,P3-NoPersist,35,112914.885714,137895.961176,12002.8,13736.489998,0.933774,0.049046,0.07079,0.051358
8,100.0,StaticRL,35,300107.6,416774.661013,28602.514286,35607.158459,1.0,0.0,0.0,0.0
8,100.0,TrustOnly,35,326196.257143,464517.823369,28602.514286,35607.158459,1.0,0.0,0.02057,0.0231
8,100.0,ZephyrCache,35,259776.171429,344460.094008,28602.514286,35607.158459,1.0,0.0,0.0,0.0
8,1000.0,BudgetDoS,35,113035.142857,138016.434126,24148.228571,28676.51238,0.748338,0.195442,0.251662,0.195442
8,1000.0,Freq-RL,35,1323844.742857,1667976.580187,284074.685714,348379.743273,1.0,0.0,0.0,0.0
8,1000.0,FullScan-Host,35,1357974.028571,1666355.58444,292098.4,348403.752319,1.0,0.0,0.0,0.0
8,1000.0,LRU-RL,35,1348997.257143,1714961.337101,284074.685714,348379.743273,1.0,0.0,0.0,0.0
8,1000.0,P3-NoPersist,35,112915.342857,137895.691872,24597.142857,29519.861144,0.798845,0.149733,0.202296,0.150817
8,1000.0,StaticRL,35,1321922.371429,1665162.360354,284074.685714,348379.743273,1.0,0.0,0.0,0.0
8,1000.0,TrustOnly,35,1348997.257143,1714961.337101,284074.685714,348379.743273,1.0,0.0,0.022985,0.024471
8,1000.0,ZephyrCache,35,1281059.685714,1592833.88766,284074.685714,348379.743273,1.0,0.0,0.0,0.0
8,10000.0,BudgetDoS,35,113031.771429,138004.230003,27751.714286,33771.502508,0.726547,0.243812,0.273453,0.243812
8,10000.0,Freq-RL,35,11465946.142857,14045670.515078,2818840.114286,3441379.84808,1.0,0.0,0.0,0.0
8,10000.0,FullScan-Host,35,11787606.771429,14044192.489662,2898732.457143,3441375.654884,1.0,0.0,0.0,0.0
8,10000.0,LRU-RL,35,11490256.228571,14090839.267532,2818840.114286,3441379.84808,1.0,0.0,0.0,0.0
8,10000.0,P3-NoPersist,35,112915.257143,137895.809849,27758.971429,33787.356359,0.741043,0.228163,0.25909,0.228258
8,10000.0,StaticRL,35,11464074.2,14043045.284668,2818840.114286,3441379.84808,1.0,0.0,0.0,0.0
8,10000.0,TrustOnly,35,11490256.228571,14090839.267532,2818840.114286,3441379.84808,1.0,0.0,0.026832,0.025413
8,10000.0,ZephyrCache,35,11422772.314286,13971282.866963,2818840.114286,3441379.84808,1.0,0.0,0.0,0.0
