num_bonded,rl_capacity,attack_rpa_rate_per_min,method,n,aes_attempts_total_mean,aes_attempts_total_sd,sram_bytes_mean,sram_bytes_sd
128,8,1000.0,LRU-RL,5,533944.6,9893.408907,1056.0,0.0
128,8,1000.0,P3-NoPersist,5,48001.2,1.095445,2160.0,0.0
128,8,1000.0,StaticRL,5,532064.4,9753.020932,0.0,0.0
128,8,1000.0,TrustOnly,5,533944.6,9893.408907,1072.0,0.0
128,8,1000.0,ZephyrCache,5,530353.6,9795.267878,1024.0,0.0
128,8,10000.0,BudgetDoS,5,48084.6,12.239281,1120.0,0.0
128,8,10000.0,Freq-RL,5,4838986.8,18911.806754,1056.0,0.0
128,8,10000.0,FullScan-Host,5,5161301.0,19986.058191,0.0,0.0
128,8,10000.0,LRU-RL,5,4839938.8,18713.892479,1056.0,0.0
128,8,10000.0,P3-NoPersist,5,48001.0,1.0,2160.0,0.0
128,8,10000.0,StaticRL,5,4838725.0,18736.648953,0.0,0.0
128,8,10000.0,TrustOnly,5,4839938.8,18713.892479,1072.0,0.0
128,8,10000.0,ZephyrCache,5,4836361.0,18903.19182,1024.0,0.0
512,16,0.0,BudgetDoS,5,198671.8,21.970435,4224.0,0.0
512,16,0.0,Freq-RL,5,252542.0,14137.853355,4160.0,0.0
512,16,0.0,FullScan-Host,5,255263.0,13315.29902,0.0,0.0
512,16,0.0,LRU-RL,5,272144.0,11937.936903,4160.0,0.0
512,16,0.0,P3-NoPersist,5,195623.0,2818.824489,5264.0,0.0
512,16,0.0,StaticRL,5,247295.0,12898.837932,0.0,0.0
512,16,0.0,TrustOnly,5,272144.0,11937.936903,4176.0,0.0
512,16,0.0,ZephyrCache,5,212190.8,9645.52024,1024.0,0.0
512,16,100.0,BudgetDoS,5,198657.4,15.883954,4224.0,0.0
512,16,100.0,Freq-RL,5,460753.6,5359.157145,4160.0,0.0
512,16,100.0,FullScan-Host,5,469987.0,6577.178308,0.0,0.0
512,16,100.0,LRU-RL,5,477088.6,6595.323745,4160.0,0.0
512,16,100.0,P3-NoPersist,5,198400.0,0.0,5264.0,0.0
512,16,100.0,StaticRL,5,455308.6,6371.468849,0.0,0.0
512,16,100.0,TrustOnly,5,477088.6,6595.323745,4176.0,0.0
512,16,100.0,ZephyrCache,5,419321.4,5802.104299,1024.0,0.0
512,16,1000.0,BudgetDoS,5,198652.0,23.0,4224.0,0.0
512,16,1000.0,Freq-RL,5,2250325.0,26037.287416,4160.0,0.0
512,16,1000.0,FullScan-Host,5,2319534.8,25397.826338,0.0,0.0
512,16,1000.0,LRU-RL,5,2268442.0,23443.606293,4160.0,0.0
512,16,1000.0,P3-NoPersist,5,198400.2,0.447214,5264.0,0.0
512,16,1000.0,StaticRL,5,2247058.0,24604.220034,0.0,0.0
512,16,1000.0,TrustOnly,5,2268442.0,23443.606293,4176.0,0.0
512,16,1000.0,ZephyrCache,5,2211170.2,24853.856536,1024.0,0.0
512,16,10000.0,BudgetDoS,5,198673.4,60.83831,4224.0,0.0
512,16,10000.0,Freq-RL,5,20154745.0,72091.167073,4160.0,0.0
512,16,10000.0,FullScan-Host,5,20798654.8,72619.815496,0.0,0.0
512,16,10000.0,LRU-RL,5,20173060.0,72031.977534,4160.0,0.0
512,16,10000.0,P3-NoPersist,5,198401.6,1.516575,5264.0,0.0
512,16,10000.0,StaticRL,5,20148706.0,70349.80517,0.0,0.0
512,16,10000.0,TrustOnly,5,20173060.0,72031.977534,4176.0,0.0
512,16,10000.0,ZephyrCache,5,20111711.6,73344.54725,1024.0,0.0
512,32,0.0,BudgetDoS,5,192313.4,10.526158,4288.0,0.0
512,32,0.0,Freq-RL,5,225915.0,10052.921441,4224.0,0.0
512,32,0.0,FullScan-Host,5,231654.8,11713.039217,0.0,0.0
512,32,0.0,LRU-RL,5,230800.8,9833.91205,4224.0,0.0
512,32,0.0,P3-NoPersist,5,188931.2,2990.8021,5328.0,0.0
512,32,0.0,StaticRL,5,217197.2,10980.3865,0.0,0.0
512,32,0.0,TrustOnly,5,230800.8,9833.91205,4240.0,0.0
512,32,0.0,ZephyrCache,5,200172.8,8438.726071,1024.0,0.0
512,32,100.0,BudgetDoS,5,192299.6,18.311199,4288.0,0.0
512,32,100.0,Freq-RL,5,427122.4,9235.59618,4224.0,0.0
512,32,100.0,FullScan-Host,5,448218.4,5577.486782,0.0,0.0
512,32,100.0,LRU-RL,5,433541.0,4560.490379,4224.0,0.0
512,32,100.0,P3-NoPersist,5,192000.6,0.547723,5328.0,0.0
512,32,100.0,StaticRL,5,420224.8,5228.850466,0.0,0.0
512,32,100.0,TrustOnly,5,433541.0,4560.490379,4240.0,0.0
512,32,100.0,ZephyrCache,5,401579.8,5469.740963,1024.0,0.0
512,32,1000.0,BudgetDoS,5,192307.6,22.831995,4288.0,0.0
512,32,1000.0,Freq-RL,5,2158486.8,25240.501217,4224.0,0.0
512,32,1000.0,FullScan-Host,5,2294189.2,24964.239928,0.0,0.0
512,32,1000.0,LRU-RL,5,2165288.6,23780.815783,4224.0,0.0
512,32,1000.0,P3-NoPersist,5,192005.4,2.073644,5328.0,0.0
512,32,1000.0,StaticRL,5,2150822.8,23404.195077,0.0,0.0
512,32,1000.0,TrustOnly,5,2165288.6,23780.815783,4240.0,0.0
512,32,1000.0,ZephyrCache,5,2135722.8,23458.288486,1024.0,0.0
512,32,10000.0,BudgetDoS,5,192323.8,54.527058,4288.0,0.0
512,32,10000.0,Freq-RL,5,19484004.0,70262.880481,4224.0,0.0
512,32,10000.0,FullScan-Host,5,20773309.2,73160.270063,0.0,0.0
512,32,10000.0,LRU-RL,5,19492817.6,68632.658005,4224.0,0.0
512,32,10000.0,P3-NoPersist,5,192009.6,2.792848,5328.0,0.0
512,32,10000.0,StaticRL,5,19474998.8,68586.430113,0.0,0.0
512,32,10000.0,TrustOnly,5,19492817.6,68632.658005,4240.0,0.0
512,32,10000.0,ZephyrCache,5,19457965.2,70658.929993,1024.0,0.0
512,8,0.0,BudgetDoS,5,201830.6,19.781304,4192.0,0.0
512,8,0.0,Freq-RL,5,278038.6,10665.48711,4128.0,0.0
512,8,0.0,FullScan-Host,5,279586.6,10526.55313,0.0,0.0
512,8,0.0,LRU-RL,5,309828.2,8124.26801,4128.0,0.0
512,8,0.0,P3-NoPersist,5,198677.4,2881.955638,5232.0,0.0
512,8,0.0,StaticRL,5,275221.8,10361.959236,0.0,0.0
512,8,0.0,TrustOnly,5,309828.2,8124.26801,4144.0,0.0
512,8,0.0,ZephyrCache,5,216418.0,9613.08088,1024.0,0.0
512,8,100.0,BudgetDoS,5,201820.4,15.453155,4192.0,0.0
512,8,100.0,Freq-RL,5,485785.8,4686.964284,4128.0,0.0
512,8,100.0,FullScan-Host,5,491244.6,5187.23701,0.0,0.0
512,8,100.0,LRU-RL,5,517474.8,8139.626201,4128.0,0.0
512,8,100.0,P3-NoPersist,5,201600.0,0.0,5232.0,0.0
512,8,100.0,StaticRL,5,483572.6,5106.24361,0.0,0.0
512,8,100.0,TrustOnly,5,517474.8,8139.626201,4144.0,0.0
512,8,100.0,ZephyrCache,5,427392.4,6305.057993,1024.0,0.0
512,8,1000.0,BudgetDoS,5,201806.0,25.951879,4192.0,0.0
512,8,1000.0,Freq-RL,5,2309754.2,24639.302287,4128.0,0.0
512,8,1000.0,FullScan-Host,5,2342734.2,25302.975353,0.0,0.0
512,8,1000.0,LRU-RL,5,2337721.0,23067.297869,4128.0,0.0
512,8,1000.0,P3-NoPersist,5,201600.0,0.0,5232.0,0.0
512,8,1000.0,StaticRL,5,2306132.6,24907.666918,0.0,0.0
512,8,1000.0,TrustOnly,5,2337721.0,23067.297869,4144.0,0.0
512,8,1000.0,ZephyrCache,5,2247840.2,24740.057643,1024.0,0.0
512,8,10000.0,BudgetDoS,5,201818.6,49.812649,4192.0,0.0
512,8,10000.0,Freq-RL,5,20502250.8,74251.243052,4128.0,0.0
512,8,10000.0,FullScan-Host,5,20824818.0,73657.17869,0.0,0.0
512,8,10000.0,LRU-RL,5,20530217.6,71888.082804,4128.0,0.0
512,8,10000.0,P3-NoPersist,5,201600.0,0.0,5232.0,0.0
512,8,10000.0,StaticRL,5,20499434.0,72505.94285,0.0,0.0
512,8,10000.0,TrustOnly,5,20530217.6,71888.082804,4144.0,0.0
512,8,10000.0,ZephyrCache,5,20437401.8,74164.560783,1024.0,0.0
