background_rpa_rate_per_min,active_skew,rpa_rotation_interval_min,rssi_noise_db,method,n,aes_attempts_total_mean,aes_attempts_total_sd,legit_resolution_rate_mean,legit_resolution_rate_sd,false_defer_legit_rate_mean,false_defer_legit_rate_sd
100.0,1.1,15,3,StaticRL,5,532064.4,9753.020932,1.0,0.0,0.0,0.0
100.0,1.1,15,3,TrustOnly,5,533944.6,9893.408907,1.0,0.0,0.006229,0.009246
100.0,1.1,15,3,ZephyrCache,5,530353.6,9795.267878,1.0,0.0,0.0,0.0
100.0,1.1,15,6,BudgetDoS,5,48072.6,10.114346,0.708468,0.06826,0.291532,0.06826
100.0,1.1,15,6,Freq-RL,5,532730.8,9686.375803,1.0,0.0,0.0,0.0
100.0,1.1,15,6,FullScan-Host,5,567530.0,10403.371977,1.0,0.0,0.0,0.0
100.0,1.1,15,6,LRU-RL,5,533944.6,9893.408907,1.0,0.0,0.0,0.0
100.0,1.1,15,6,P3-NoPersist,5,48001.2,1.095445,0.715995,0.069272,0.284005,0.069272
100.0,1.1,15,6,StaticRL,5,532064.4,9753.020932,1.0,0.0,0.0,0.0
100.0,1.1,15,6,TrustOnly,5,533944.6,9893.408907,1.0,0.0,0.021769,0.014543
100.0,1.1,15,6,ZephyrCache,5,530353.6,9795.267878,1.0,0.0,0.0,0.0
100.0,1.1,15,6.0,BudgetDoS,10,48072.6,9.535897,0.708468,0.064356,0.291532,0.064356
100.0,1.1,15,6.0,Freq-RL,10,532730.8,9132.402687,1.0,0.0,0.0,0.0
100.0,1.1,15,6.0,FullScan-Host,10,567530.0,9808.393163,1.0,0.0,0.0,0.0
100.0,1.1,15,6.0,LRU-RL,10,533944.6,9327.59537,1.0,0.0,0.0,0.0
100.0,1.1,15,6.0,P3-NoPersist,10,48001.2,1.032796,0.715995,0.06531,0.284005,0.06531
100.0,1.1,15,6.0,StaticRL,10,532064.4,9195.236317,1.0,0.0,0.0,0.0
100.0,1.1,15,6.0,TrustOnly,10,533944.6,9327.59537,1.0,0.0,0.021769,0.013711
100.0,1.1,15,6.0,ZephyrCache,10,530353.6,9235.06712,1.0,0.0,0.0,0.0
100.0,1.1,30,6.0,BudgetDoS,5,48072.6,10.114346,0.708468,0.06826,0.291532,0.06826
100.0,1.1,30,6.0,Freq-RL,5,532730.8,9686.375803,1.0,0.0,0.0,0.0
100.0,1.1,30,6.0,FullScan-Host,5,567530.0,10403.371977,1.0,0.0,0.0,0.0
100.0,1.1,30,6.0,LRU-RL,5,533944.6,9893.408907,1.0,0.0,0.0,0.0
100.0,1.1,30,6.0,P3-NoPersist,5,48001.2,1.095445,0.715995,0.069272,0.284005,0.069272
100.0,1.1,30,6.0,StaticRL,5,532064.4,9753.020932,1.0,0.0,0.0,0.0
100.0,1.1,30,6.0,TrustOnly,5,533944.6,9893.408907,1.0,0.0,0.021769,0.014543
100.0,1.1,30,6.0,ZephyrCache,5,530353.6,9795.267878,1.0,0.0,0.0,0.0
100.0,1.1,5,6.0,BudgetDoS,5,48072.6,10.114346,0.708468,0.06826,0.291532,0.06826
100.0,1.1,5,6.0,Freq-RL,5,532730.8,9686.375803,1.0,0.0,0.0,0.0
100.0,1.1,5,6.0,FullScan-Host,5,567530.0,10403.371977,1.0,0.0,0.0,0.0
100.0,1.1,5,6.0,LRU-RL,5,533944.6,9893.408907,1.0,0.0,0.0,0.0
100.0,1.1,5,6.0,P3-NoPersist,5,48001.2,1.095445,0.715995,0.069272,0.284005,0.069272
100.0,1.1,5,6.0,StaticRL,5,532064.4,9753.020932,1.0,0.0,0.0,0.0
100.0,1.1,5,6.0,TrustOnly,5,533944.6,9893.408907,1.0,0.0,0.021769,0.014543
100.0,1.1,5,6.0,ZephyrCache,5,530353.6,9795.267878,1.0,0.0,0.0,0.0
100.0,1.1,60,6.0,BudgetDoS,5,48072.6,10.114346,0.708468,0.06826,0.291532,0.06826
100.0,1.1,60,6.0,Freq-RL,5,532730.8,9686.375803,1.0,0.0,0.0,0.0
100.0,1.1,60,6.0,FullScan-Host,5,567530.0,10403.371977,1.0,0.0,0.0,0.0
100.0,1.1,60,6.0,LRU-RL,5,533944.6,9893.408907,1.0,0.0,0.0,0.0
100.0,1.1,60,6.0,P3-NoPersist,5,48001.2,1.095445,0.715995,0.069272,0.284005,0.069272
100.0,1.1,60,6.0,StaticRL,5,532064.4,9753.020932,1.0,0.0,0.0,0.0
100.0,1.1,60,6.0,TrustOnly,5,533944.6,9893.408907,1.0,0.0,0.021769,0.014543
100.0,1.1,60,6.0,ZephyrCache,5,530353.6,9795.267878,1.0,0.0,0.0,0.0
100.0,1.5,15,6.0,BudgetDoS,5,48088.2,11.861703,0.843056,0.066039,0.156944,0.066039
100.0,1.5,15,6.0,Freq-RL,5,531231.4,9648.471527,1.0,0.0,0.0,0.0
100.0,1.5,15,6.0,FullScan-Host,5,566107.6,10167.002547,1.0,0.0,0.0,0.0
100.0,1.5,15,6.0,LRU-RL,5,531707.4,9800.442097,1.0,0.0,0.0,0.0
100.0,1.5,15,6.0,P3-NoPersist,5,48002.6,1.81659,0.846693,0.066701,0.153307,0.066701
100.0,1.5,15,6.0,StaticRL,5,530731.6,9531.543883,1.0,0.0,0.0,0.0
100.0,1.5,15,6.0,TrustOnly,5,531707.4,9800.442097,1.0,0.0,0.013679,0.006538
100.0,1.5,15,6.0,ZephyrCache,5,530139.0,9674.266045,1.0,0.0,0.0,0.0
1000,1.1,15,6.0,BudgetDoS,5,48071.6,7.056912,0.748521,0.030088,0.251479,0.030088
1000,1.1,15,6.0,Freq-RL,5,958316.8,11567.347198,1.0,0.0,0.0,0.0
1000,1.1,15,6.0,FullScan-Host,5,1021666.6,12124.854238,1.0,0.0,0.0,0.0
1000,1.1,15,6.0,LRU-RL,5,959078.4,11369.399404,1.0,0.0,0.0,0.0
1000,1.1,15,6.0,P3-NoPersist,5,48001.2,0.83666,0.757097,0.019074,0.242903,0.019074
1000,1.1,15,6.0,StaticRL,5,957817.0,11367.270803,1.0,0.0,0.0,0.0
1000,1.1,15,6.0,TrustOnly,5,959078.4,11369.399404,1.0,0.0,0.020013,0.009168
1000,1.1,15,6.0,ZephyrCache,5,955753.8,11306.661651,1.0,0.0,0.0,0.0
