run_id,method,paired_trace_id,scenario,duplicate_filter_window_s,seed,identity_label_for_scoring,visible_trace_sha256,probe_event_count,defer_rate,mean_delay_ms,p95_delay_ms,cache_path_rate,reserve_path_rate,host_scan_path_rate,budget_skip_path_rate,duplicate_filter_path_rate,rl_path_rate,mean_aes_attempts
m12_no_attack_dup0_s20260610_nonbonded,P3-Persist,m12_no_attack_dup0_s20260610,no_attack,0,20260610,nonbonded,0bb87ccf0950f91718b364e0867c32a67d42bfcec90e8eb3fb172681f1acf62a,300,0.003333,3.333333,0.0,0.0,0.173333,0.823333,0.0,0.0,0.0,502.32
m12_no_attack_dup0_s20260610_nonbonded,P3-NoPersist,m12_no_attack_dup0_s20260610,no_attack,0,20260610,nonbonded,0bb87ccf0950f91718b364e0867c32a67d42bfcec90e8eb3fb172681f1acf62a,300,0.173333,173.333333,1000.0,0.0,0.0,0.826667,0.0,0.0,0.0,416.64
m12_no_attack_dup0_s20260610_nonbonded,BudgetDoS,m12_no_attack_dup0_s20260610,no_attack,0,20260610,nonbonded,0bb87ccf0950f91718b364e0867c32a67d42bfcec90e8eb3fb172681f1acf62a,300,0.0,0.0,0.0,0.0,0.0,0.67,0.33,0.0,0.0,337.68
