run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,observation_loss_rate_requested,generated_event_count,observed_event_count,dropped_event_count,actual_observation_loss_rate,generated_legit_event_count,observed_legit_event_count,dropped_legit_event_count,actual_legit_observation_loss_rate,generated_background_event_count,observed_background_event_count,dropped_background_event_count,actual_background_observation_loss_rate,generated_attack_event_count,observed_attack_event_count,dropped_attack_event_count,actual_attack_observation_loss_rate,offered_legit_resolution_rate,observed_legit_resolution_rate,false_defer_observed_legit_rate,reserve_grant_background_count,duplicate_filter_background_count,cache_hit_background_count,host_scan_background_count,budget_skip_background_count
m13_main_e15_l0_d1000_s20260618,P3-Persist,True,300,1500,1356780,572.481013,0.952955,0.0,0.0,0.0,0.0,100.0,100.0,45420.48,0.051468,192,0,0,0,2162,4,5,22568,162813.6,6832,0.0,332660,332660,0,0.0,2487,2487,0,0.0,25120,25120,0,0.0,249515,249515,0,0.0,0.952955,0.952955,0.051468,0,0,0,243,18573
m13_main_e15_l0_d1000_s20260618,P3-NoPersist,True,300,1500,1260007,901.292561,0.562123,0.0,0.0,0.0,0.0,0.0,0.0,45360.0,0.437877,0,0,0,0,1384,7,49,22569,151200.84,5232,0.0,332660,332660,0,0.0,2487,2487,0,0.0,25120,25120,0,0.0,249515,249515,0,0.0,0.562123,0.562123,0.437877,0,0,0,243,18573
m13_main_e15_l0_d1000_s20260618,BudgetDoS,True,300,1500,1261400,896.517413,0.565742,0,0.0,0.0,0.0,0.0,0.0,45360.0,0.434258,0,0,0,0,0,7,1080,247265,151368.0,4192,0.0,332660,332660,0,0.0,2487,2487,0,0.0,25120,25120,0,0.0,249515,249515,0,0.0,0.565742,0.565742,0.434258,0,0,0,243,24877
