suite,m13_experiment,m13_epoch_min,m13_loss_rate,m13_density,m13_background_mode,background_addr_pool_size,background_repeats_per_addr,background_repeat_interval_s,run_id,duration_s,warmup_s,num_bonded,rl_capacity,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,observation_loss_rate_requested,generated_event_count,observed_event_count,dropped_event_count,actual_observation_loss_rate,generated_legit_event_count,observed_legit_event_count,dropped_legit_event_count,actual_legit_observation_loss_rate,generated_background_event_count,observed_background_event_count,dropped_background_event_count,actual_background_observation_loss_rate,generated_attack_event_count,observed_attack_event_count,dropped_attack_event_count,actual_attack_observation_loss_rate,offered_legit_resolution_rate,observed_legit_resolution_rate,false_defer_observed_legit_rate,reserve_grant_background_count,duplicate_filter_background_count,cache_hit_background_count,host_scan_background_count,budget_skip_background_count
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260613,1800,300,512,8,20260613,BudgetDoS,True,300,1500,1260926,1328.689146,0.376438,0,0.0,0.0,0.0,0.0,0.0,49432.32,0.623562,0,0,0,0,0,23,1572,246987,151311.12,4192,0.0,305423,305423,0,0.0,2521,2521,0,0.0,2434,2434,0,0.0,249439,249439,0,0.0,0.376438,0.376438,0.623562,0,0,0,25,2409
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260614,1800,300,512,8,20260614,P3-Persist,True,300,1500,1367042,740.944173,0.711806,0,0.0,0.0,0.0,100.0,100.0,49472.64,0.293596,212,0,0,0,1429,10,53,22970,164045.04,6832,0.0,306666,306666,0,0.0,2592,2592,0,0.0,2520,2520,0,0.0,250378,250378,0,0.0,0.711806,0.711806,0.293596,0,0,0,36,1858
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260614,1800,300,512,8,20260614,P3-NoPersist,True,300,1500,1260191,835.116634,0.582176,0,0.0,0.0,0.0,0.0,0.0,49472.64,0.418596,0,0,0,0,1308,10,59,22970,151222.92,5232,0.0,306666,306666,0,0.0,2592,2592,0,0.0,2520,2520,0,0.0,250378,250378,0,0.0,0.582176,0.582176,0.418596,0,0,0,36,1858
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260614,1800,300,512,8,20260614,BudgetDoS,True,300,1500,1261537,815.473174,0.596836,0,0.0,0.0,0.0,0.0,0.0,49472.64,0.403164,0,0,0,0,0,10,1045,247924,151384.44,4192,0.0,306666,306666,0,0.0,2592,2592,0,0.0,2520,2520,0,0.0,250378,250378,0,0.0,0.596836,0.596836,0.403164,0,0,0,36,2484
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260615,1800,300,512,8,20260615,P3-Persist,True,300,1500,1372576,775.466667,0.707434,0.0,0.0,0.0,0,0.0,100.0,49855.68,0.296163,223,0,0,0,1357,6,47,22734,164709.12,6832,0.0,306403,306403,0,0.0,2502,2502,0,0.0,2360,2360,0,0.0,250188,250188,0,0.0,0.707434,0.707434,0.296163,0,0,0,21,1781
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260615,1800,300,512,8,20260615,P3-NoPersist,True,300,1500,1260172,893.105599,0.563949,0,0.0,0.0,0.0,0.0,0.0,49835.52,0.436051,0,0,0,0,1232,7,61,22734,151220.64,5232,0.0,306403,306403,0,0.0,2502,2502,0,0.0,2360,2360,0,0.0,250188,250188,0,0.0,0.563949,0.563949,0.436051,0,0,0,21,1781
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260615,1800,300,512,8,20260615,BudgetDoS,True,300,1500,1261488,844.369478,0.597122,0.0,0.0,0.0,0.0,0.0,0.0,49855.68,0.402878,0,0,0,0,0,6,1008,247715,151378.56,4192,0.0,306403,306403,0,0.0,2502,2502,0,0.0,2360,2360,0,0.0,250188,250188,0,0.0,0.597122,0.597122,0.402878,0,0,0,21,2339
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260616,1800,300,512,8,20260616,P3-Persist,True,300,1500,1354942,770.729238,0.7032,0.0,0.0,0.0,0.0,65.0,100.0,49593.6,0.3008,188,0,0,0,1375,5,44,22543,162593.04,6832,0.0,305949,305949,0,0.0,2500,2500,0,0.0,2568,2568,0,0.0,250132,250132,0,0.0,0.7032,0.7032,0.3008,0,0,0,35,1875
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260616,1800,300,512,8,20260616,P3-NoPersist,True,300,1500,1260194,834.013236,0.6044,0,0.0,0.0,0.0,0.0,0.0,49593.6,0.3956,0,0,0,0,1312,5,57,22543,151223.28,5232,0.0,305949,305949,0,0.0,2500,2500,0,0.0,2568,2568,0,0.0,250132,250132,0,0.0,0.6044,0.6044,0.3956,0,0,0,35,1875
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260616,1800,300,512,8,20260616,BudgetDoS,True,300,1500,1261504,835.986746,0.6036,0,0.0,0.0,0.0,0.0,0.0,49593.6,0.3964,0,0,0,0,0,5,991,247672,151380.48,4192,0.0,305949,305949,0,0.0,2500,2500,0,0.0,2568,2568,0,0.0,250132,250132,0,0.0,0.6036,0.6036,0.3964,0,0,0,35,2533
