m13_experiment,m13_epoch_min,m13_loss_rate,m13_density,m13_background_mode,method,n,offered_legit_resolution_rate_mean,offered_legit_resolution_rate_sd,observed_legit_resolution_rate_mean,observed_legit_resolution_rate_sd,false_defer_observed_legit_rate_mean,false_defer_observed_legit_rate_sd,p95_resolution_delay_ms_mean,p95_resolution_delay_ms_sd,attack_aes_amplification_mean,attack_aes_amplification_sd,actual_observation_loss_rate_mean,actual_observation_loss_rate_sd,reserve_grant_background_count_mean,reserve_grant_background_count_sd
main,1,0.4,1000.0,unique,P3-NoPersist,20,0.337463,0.035782,0.560652,0.057858,0.439645,0.057925,0.0,0.0,45559.584,306.084168,0.399687,0.000685,0.0,0.0
main,1,0.4,1000.0,unique,P3-Persist,20,0.405555,0.008969,0.673816,0.008168,0.33132,0.009567,0.0,0.0,45566.64,300.866427,0.399687,0.000685,0.0,0.0
main,1,0.4,5000.0,unique,BudgetDoS,20,0.328434,0.047906,0.547698,0.080034,0.452302,0.080034,0.0,0.0,33455.52,474.577659,0.399673,0.000647,0.0,0.0
main,1,0.4,5000.0,unique,P3-NoPersist,20,0.330611,0.046049,0.551264,0.076683,0.449132,0.076841,0.0,0.0,33456.528,463.955561,0.399673,0.000647,0.0,0.0
main,1,0.4,5000.0,unique,P3-Persist,20,0.402741,0.010896,0.671334,0.011015,0.333547,0.011513,0.0,0.0,33477.696,470.408084,0.399673,0.000647,0.0,0.0
main,15,0.0,100.0,unique,BudgetDoS,20,0.520102,0.102348,0.520102,0.102348,0.479898,0.102348,0.0,0.0,49624.848,131.056323,0.0,0.0,0.0,0.0
main,15,0.0,100.0,unique,P3-NoPersist,20,0.561372,0.046317,0.561372,0.046317,0.438861,0.046454,0.0,0.0,49647.024,117.602021,0.0,0.0,0.0,0.0
main,15,0.0,100.0,unique,P3-Persist,20,0.955313,0.001903,0.955313,0.001903,0.050653,0.001881,0.0,0.0,49783.104,112.036306,0.0,0.0,0.0,0.0
main,15,0.0,1000.0,unique,BudgetDoS,20,0.56632,0.066637,0.56632,0.066637,0.43368,0.066637,0.0,0.0,45648.288,350.532672,0.0,0.0,0.0,0.0
main,15,0.0,1000.0,unique,P3-NoPersist,20,0.571804,0.035815,0.571804,0.035815,0.428373,0.035915,0.0,0.0,45650.304,342.776169,0.0,0.0,0.0,0.0
main,15,0.0,1000.0,unique,P3-Persist,20,0.955667,0.002115,0.955667,0.002115,0.049741,0.002291,0.0,0.0,45765.216,339.358074,0.0,0.0,0.0,0.0
main,15,0.0,5000.0,unique,BudgetDoS,20,0.523209,0.104222,0.523209,0.104222,0.476791,0.104222,0.0,0.0,33430.32,437.981204,0.0,0.0,0.0,0.0
main,15,0.0,5000.0,unique,P3-NoPersist,20,0.558563,0.045038,0.558563,0.045038,0.441652,0.045011,0.0,0.0,33433.344,446.279796,0.0,0.0,0.0,0.0
main,15,0.0,5000.0,unique,P3-Persist,20,0.955484,0.002003,0.955484,0.002003,0.049787,0.002158,0.0,0.0,33497.856,428.427774,0.0,0.0,0.0,0.0
main,15,0.2,100.0,unique,BudgetDoS,20,0.420436,0.0823,0.523882,0.100217,0.476118,0.100217,0.0,0.0,49607.712,122.907273,0.20027,0.000695,0.0,0.0
main,15,0.2,100.0,unique,P3-NoPersist,20,0.458332,0.026169,0.57175,0.033993,0.428492,0.034162,0.0,0.0,49637.952,95.817224,0.20027,0.000695,0.0,0.0
main,15,0.2,100.0,unique,P3-Persist,20,0.756427,0.00702,0.943452,0.002751,0.062871,0.003032,0.0,0.0,49778.064,104.708478,0.20027,0.000695,0.0,0.0
main,15,0.2,1000.0,unique,BudgetDoS,20,0.463533,0.040289,0.579646,0.048899,0.420354,0.048899,0.0,0.0,45634.176,326.540908,0.200245,0.00062,0.0,0.0
main,15,0.2,1000.0,unique,P3-NoPersist,20,0.467438,0.02325,0.58471,0.029433,0.415585,0.029633,0.0,0.0,45632.16,329.417114,0.200245,0.00062,0.0,0.0
main,15,0.2,1000.0,unique,P3-Persist,20,0.754612,0.00717,0.943871,0.002111,0.061772,0.002723,0.0,0.0,45754.128,330.32334,0.200245,0.00062,0.0,0.0
main,15,0.2,5000.0,unique,BudgetDoS,20,0.433776,0.074925,0.541959,0.092784,0.458041,0.092784,0.0,0.0,33355.728,431.515965,0.200198,0.000517,0.0,0.0
main,15,0.2,5000.0,unique,P3-NoPersist,20,0.444649,0.033276,0.555788,0.042753,0.44453,0.042781,0.0,0.0,33367.824,443.774339,0.200198,0.000517,0.0,0.0
main,15,0.2,5000.0,unique,P3-Persist,20,0.755108,0.007412,0.943666,0.001812,0.061952,0.001781,0.0,0.0,33430.32,442.548314,0.200198,0.000517,0.0,0.0
main,15,0.4,100.0,unique,BudgetDoS,20,0.34026,0.032846,0.565434,0.055202,0.434566,0.055202,0.0,0.0,49660.128,74.891076,0.400149,0.000833,0.0,0.0
main,15,0.4,100.0,unique,P3-NoPersist,20,0.335279,0.027601,0.556986,0.045051,0.443532,0.045342,0.0,0.0,49664.16,72.393033,0.400149,0.000833,0.0,0.0
main,15,0.4,100.0,unique,P3-Persist,20,0.557582,0.00926,0.926261,0.003739,0.079763,0.004923,0.0,0.0,49792.176,80.977504,0.400149,0.000833,0.0,0.0
main,15,0.4,1000.0,unique,BudgetDoS,20,0.347685,0.012017,0.578751,0.022182,0.421249,0.022182,0.0,0.0,45677.52,298.582643,0.400095,0.000782,0.0,0.0
main,15,0.4,1000.0,unique,P3-NoPersist,20,0.338618,0.021746,0.56333,0.031933,0.436999,0.032111,0.0,0.0,45664.416,299.657118,0.400095,0.000782,0.0,0.0
main,15,0.4,1000.0,unique,P3-Persist,20,0.556241,0.011252,0.92561,0.003812,0.079613,0.004087,0.0,0.0,45778.32,294.543414,0.400095,0.000782,0.0,0.0
main,15,0.4,5000.0,unique,BudgetDoS,20,0.338947,0.038583,0.565858,0.065353,0.434142,0.065353,0.0,0.0,33232.752,435.267082,0.400183,0.000718,0.0,0.0
main,15,0.4,5000.0,unique,P3-NoPersist,20,0.336323,0.022628,0.561326,0.037807,0.439068,0.037844,0.0,0.0,33230.736,438.732689,0.400183,0.000718,0.0,0.0
main,15,0.4,5000.0,unique,P3-Persist,20,0.555045,0.008533,0.926269,0.003402,0.079337,0.003363,0.0,0.0,33287.184,431.704295,0.400183,0.000718,0.0,0.0
main,5,0.0,100.0,unique,BudgetDoS,20,0.520102,0.102348,0.520102,0.102348,0.479898,0.102348,0.0,0.0,49624.848,131.056323,0.0,0.0,0.0,0.0
main,5,0.0,100.0,unique,P3-NoPersist,20,0.547547,0.060322,0.547547,0.060322,0.452727,0.060235,0.0,0.0,49630.896,118.868443,0.0,0.0,0.0,0.0
main,5,0.0,100.0,unique,P3-Persist,20,0.853841,0.005005,0.853841,0.005005,0.153106,0.005044,0.0,0.0,49708.512,109.271937,0.0,0.0,0.0,0.0
main,5,0.0,1000.0,unique,BudgetDoS,20,0.56632,0.066637,0.56632,0.066637,0.43368,0.066637,0.0,0.0,45648.288,350.532672,0.0,0.0,0.0,0.0
main,5,0.0,1000.0,unique,P3-NoPersist,20,0.557116,0.05654,0.557116,0.05654,0.44306,0.056534,0.0,0.0,45642.24,344.245768,0.0,0.0,0.0,0.0
main,5,0.0,1000.0,unique,P3-Persist,20,0.853017,0.003533,0.853017,0.003533,0.153234,0.004554,0.0,0.0,45707.76,338.599252,0.0,0.0,0.0,0.0
main,5,0.0,5000.0,unique,BudgetDoS,20,0.523209,0.104222,0.523209,0.104222,0.476791,0.104222,0.0,0.0,33430.32,437.981204,0.0,0.0,0.0,0.0
main,5,0.0,5000.0,unique,P3-NoPersist,20,0.542057,0.070799,0.542057,0.070799,0.458159,0.070812,0.0,0.0,33429.312,436.647073,0.0,0.0,0.0,0.0
main,5,0.0,5000.0,unique,P3-Persist,20,0.854705,0.00457,0.854705,0.00457,0.152061,0.00478,0.0,0.0,33468.624,437.658745,0.0,0.0,0.0,0.0
main,5,0.2,100.0,unique,BudgetDoS,20,0.423661,0.078009,0.530669,0.096008,0.469331,0.096008,0.0,0.0,49642.992,109.540774,0.199981,0.00066,0.0,0.0
main,5,0.2,100.0,unique,P3-NoPersist,20,0.443794,0.044673,0.556356,0.05644,0.443938,0.056335,0.0,0.0,49648.032,102.190992,0.199981,0.00066,0.0,0.0
main,5,0.2,100.0,unique,P3-Persist,20,0.664156,0.008413,0.832467,0.007051,0.174574,0.007084,0.0,0.0,49724.64,104.754433,0.199981,0.00066,0.0,0.0
main,5,0.2,1000.0,unique,BudgetDoS,20,0.452058,0.054399,0.565666,0.06715,0.434335,0.06715,0.0,0.0,45622.08,264.638524,0.199951,0.000572,0.0,0.0
main,5,0.2,1000.0,unique,P3-NoPersist,20,0.45087,0.048489,0.564257,0.060436,0.435962,0.060497,0.0,0.0,45623.088,259.370512,0.199951,0.000572,0.0,0.0
main,5,0.2,1000.0,unique,P3-Persist,20,0.664427,0.007913,0.831558,0.005187,0.175253,0.00591,0.0,0.0,45674.496,270.110741,0.199951,0.000572,0.0,0.0
main,5,0.2,5000.0,unique,BudgetDoS,20,0.436334,0.072247,0.547053,0.09163,0.452947,0.09163,0.0,0.0,33415.2,582.991214,0.199826,0.000586,0.0,0.0
main,5,0.2,5000.0,unique,P3-NoPersist,20,0.449514,0.042388,0.563228,0.052138,0.437068,0.052136,0.0,0.0,33412.176,575.449107,0.199826,0.000586,0.0,0.0
main,5,0.2,5000.0,unique,P3-Persist,20,0.664345,0.010031,0.83245,0.005669,0.174659,0.005753,0.0,0.0,33453.504,556.134519,0.199826,0.000586,0.0,0.0
main,5,0.4,100.0,unique,BudgetDoS,20,0.308274,0.06239,0.512512,0.10344,0.487488,0.10344,0.0,0.0,49653.072,106.37046,0.399958,0.001059,0.0,0.0
main,5,0.4,100.0,unique,P3-NoPersist,20,0.338995,0.024779,0.563504,0.039675,0.437079,0.039439,0.0,0.0,49667.184,108.323289,0.399958,0.001059,0.0,0.0
main,5,0.4,100.0,unique,P3-Persist,20,0.482583,0.010736,0.802174,0.008234,0.205532,0.009006,0.0,0.0,49714.56,97.455244,0.399958,0.001059,0.0,0.0
main,5,0.4,1000.0,unique,BudgetDoS,20,0.330839,0.047304,0.546434,0.077981,0.453566,0.077981,0.0,0.0,45628.128,276.427732,0.399951,0.001034,0.0,0.0
main,5,0.4,1000.0,unique,P3-NoPersist,20,0.347542,0.035237,0.573911,0.057031,0.426414,0.056951,0.0,0.0,45634.176,262.235031,0.399951,0.001034,0.0,0.0
main,5,0.4,1000.0,unique,P3-Persist,20,0.48609,0.008142,0.802804,0.005477,0.204807,0.005987,0.0,0.0,45687.6,263.899916,0.399951,0.001034,0.0,0.0
main,5,0.4,5000.0,unique,BudgetDoS,20,0.338179,0.038714,0.563232,0.063756,0.436768,0.063756,0.0,0.0,33490.8,390.636365,0.400168,0.000932,0.0,0.0
main,5,0.4,5000.0,unique,P3-NoPersist,20,0.33241,0.028749,0.553978,0.050413,0.446346,0.050457,0.0,0.0,33493.824,386.923866,0.400168,0.000932,0.0,0.0
main,5,0.4,5000.0,unique,P3-Persist,20,0.482278,0.008676,0.803271,0.00609,0.204016,0.007192,0.0,0.0,33516.0,385.156259,0.400168,0.000932,0.0,0.0
