run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,observation_loss_rate_requested,generated_event_count,observed_event_count,dropped_event_count,actual_observation_loss_rate,generated_legit_event_count,observed_legit_event_count,dropped_legit_event_count,actual_legit_observation_loss_rate,generated_background_event_count,observed_background_event_count,dropped_background_event_count,actual_background_observation_loss_rate,generated_attack_event_count,observed_attack_event_count,dropped_attack_event_count,actual_attack_observation_loss_rate,offered_legit_resolution_rate,observed_legit_resolution_rate,false_defer_observed_legit_rate,reserve_grant_background_count,duplicate_filter_background_count,cache_hit_background_count,host_scan_background_count,budget_skip_background_count
m13_main_e15_l20_d1000_s20260617,P3-Persist,True,300,1500,1349217,718.050559,0.9428,0,0.0,0.0,0,100.0,100.0,44956.8,0.064727,177,0,0,0,1692,1,8,17990,161906.04,6832,0.2,333875,266957,66918,0.200428,2482,1993,489,0.197019,25051,20013,5038,0.20111,250584,200431,50153,0.200144,0.757051,0.9428,0.064727,0,0,0,269,14711
m13_main_e15_l20_d1000_s20260617,P3-NoPersist,True,300,1500,1260008,1126.012511,0.561465,0,0.0,0.0,0.0,0.0,0.0,44835.84,0.439037,0,0,0,0,1104,7,104,17990,151200.96,5232,0.2,333875,266957,66918,0.200428,2482,1993,489,0.197019,25051,20013,5038,0.20111,250584,200431,50153,0.200144,0.450846,0.561465,0.439037,0,0,0,269,14711
m13_main_e15_l20_d1000_s20260617,BudgetDoS,True,300,1500,1261076,1163.354244,0.543904,0.0,0.0,0.0,0.0,0.0,0.0,44835.84,0.456096,0,0,0,0,0,8,909,198207,151329.12,4192,0.2,333875,266957,66918,0.200428,2482,1993,489,0.197019,25051,20013,5038,0.20111,250584,200431,50153,0.200144,0.436745,0.543904,0.456096,0,0,0,268,19745
