run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,observation_loss_rate_requested,generated_event_count,observed_event_count,dropped_event_count,actual_observation_loss_rate,generated_legit_event_count,observed_legit_event_count,dropped_legit_event_count,actual_legit_observation_loss_rate,generated_background_event_count,observed_background_event_count,dropped_background_event_count,actual_background_observation_loss_rate,generated_attack_event_count,observed_attack_event_count,dropped_attack_event_count,actual_attack_observation_loss_rate,offered_legit_resolution_rate,observed_legit_resolution_rate,false_defer_observed_legit_rate,reserve_grant_background_count,duplicate_filter_background_count,cache_hit_background_count,host_scan_background_count,budget_skip_background_count
m13_main_e1_l0_d100_s20260614,P3-Persist,True,300,1500,1367042,740.944173,0.711806,0,0.0,0.0,0.0,100.0,100.0,49472.64,0.293596,212,0,0,0,1429,10,53,22970,164045.04,6832,0.0,306666,306666,0,0.0,2592,2592,0,0.0,2520,2520,0,0.0,250378,250378,0,0.0,0.711806,0.711806,0.293596,0,0,0,36,1858
m13_main_e1_l0_d100_s20260614,P3-NoPersist,True,300,1500,1260191,835.116634,0.582176,0,0.0,0.0,0.0,0.0,0.0,49472.64,0.418596,0,0,0,0,1308,10,59,22970,151222.92,5232,0.0,306666,306666,0,0.0,2592,2592,0,0.0,2520,2520,0,0.0,250378,250378,0,0.0,0.582176,0.582176,0.418596,0,0,0,36,1858
m13_main_e1_l0_d100_s20260614,BudgetDoS,True,300,1500,1261537,815.473174,0.596836,0,0.0,0.0,0.0,0.0,0.0,49472.64,0.403164,0,0,0,0,0,10,1045,247924,151384.44,4192,0.0,306666,306666,0,0.0,2592,2592,0,0.0,2520,2520,0,0.0,250378,250378,0,0.0,0.596836,0.596836,0.403164,0,0,0,36,2484
