run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,observation_loss_rate_requested,generated_event_count,observed_event_count,dropped_event_count,actual_observation_loss_rate,generated_legit_event_count,observed_legit_event_count,dropped_legit_event_count,actual_legit_observation_loss_rate,generated_background_event_count,observed_background_event_count,dropped_background_event_count,actual_background_observation_loss_rate,generated_attack_event_count,observed_attack_event_count,dropped_attack_event_count,actual_attack_observation_loss_rate,offered_legit_resolution_rate,observed_legit_resolution_rate,false_defer_observed_legit_rate,reserve_grant_background_count,duplicate_filter_background_count,cache_hit_background_count,host_scan_background_count,budget_skip_background_count
m13_main_e5_l20_d5000_s20260622,P3-Persist,True,300,1500,1361837,782.664943,0.839363,0.0,0.0,0.0,0.0,100.0,100.0,32800.32,0.166425,202,0,0,0,1501,8,23,18084,163420.44,6832,0.2,453596,363083,90513,0.199545,2587,2073,514,0.198686,124908,99897,25011,0.200235,250435,200462,49973,0.199545,0.672594,0.839363,0.166425,0,0,0,865,74229
m13_main_e5_l20_d5000_s20260622,P3-NoPersist,True,300,1500,1260037,1279.225381,0.475157,0,0.0,0.0,0.0,0.0,0.0,32679.36,0.524843,0,0,0,0,936,12,111,18084,151204.44,5232,0.2,453596,363083,90513,0.199545,2587,2073,514,0.198686,124908,99897,25011,0.200235,250435,200462,49973,0.199545,0.38075,0.475157,0.524843,0,0,0,867,74228
m13_main_e5_l20_d5000_s20260622,BudgetDoS,True,300,1500,1260745,1663.251979,0.365654,0.0,0.0,0.0,0.0,0.0,0.0,32679.36,0.634346,0,0,0,0,0,13,1315,198841,151289.4,4192,0.2,453596,363083,90513,0.199545,2587,2073,514,0.198686,124908,99897,25011,0.200235,250435,200462,49973,0.199545,0.293003,0.365654,0.634346,0,0,0,866,99031
