run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,observation_loss_rate_requested,generated_event_count,observed_event_count,dropped_event_count,actual_observation_loss_rate,generated_legit_event_count,observed_legit_event_count,dropped_legit_event_count,actual_legit_observation_loss_rate,generated_background_event_count,observed_background_event_count,dropped_background_event_count,actual_background_observation_loss_rate,generated_attack_event_count,observed_attack_event_count,dropped_attack_event_count,actual_attack_observation_loss_rate,offered_legit_resolution_rate,observed_legit_resolution_rate,false_defer_observed_legit_rate,reserve_grant_background_count,duplicate_filter_background_count,cache_hit_background_count,host_scan_background_count,budget_skip_background_count
m13_main_e1_l40_d100_s20260629,P3-Persist,True,300,1500,1312590,1259.683301,0.66624,0.0,0.0,0.0,0.0,0.0,100.0,49593.6,0.336317,104,0,0,0,759,5,41,13443,157510.8,6832,0.4,306583,183733,122850,0.400707,2548,1564,984,0.386185,2510,1489,1021,0.406773,250218,149902,100316,0.400914,0.408948,0.66624,0.336317,0,0,0,35,1111
m13_main_e1_l40_d100_s20260629,P3-NoPersist,True,300,1500,1260169,1403.306236,0.574169,0.0,0.0,0.0,0.0,0.0,0.0,49593.6,0.425831,0,0,0,0,724,5,45,13443,151220.28,5232,0.4,306583,183733,122850,0.400707,2548,1564,984,0.386185,2510,1489,1021,0.406773,250218,149902,100316,0.400914,0.352433,0.574169,0.425831,0,0,0,35,1111
m13_main_e1_l40_d100_s20260629,BudgetDoS,True,300,1500,1260892,1405.6767,0.573529,0,0.0,0.0,0.0,0.0,0.0,49593.6,0.426471,0,0,0,0,0,5,667,147442,151307.04,4192,0.4,306583,183733,122850,0.400707,2548,1564,984,0.386185,2510,1489,1021,0.406773,250218,149902,100316,0.400914,0.352041,0.573529,0.426471,0,0,0,35,1454
