suite,run_id,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,active_skew,rpa_rotation_interval_min,rssi_noise_db,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
ablation,m3abl_base_s20260601,128,8,100.0,0.0,1.1,15,6.0,20260601,P3-NoTrust,True,60,240,47400,408.62069,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,98,18,0,0,5688.0,2144
ablation,m3abl_base_s20260601,128,8,100.0,0.0,1.1,15,6.0,20260601,P3-NoRL,True,60,240,47043,405.543103,1.0,0.0,0.0,85.0,0.0,0.017241,0,0,0,0,98,15,0,0,5645.16,1104
ablation,m3abl_base_s20260602,128,8,100.0,0.0,1.1,15,6.0,20260602,ZephyrCache,True,60,240,46323,432.925234,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,96,8,0,0,5558.76,1024
ablation,m3abl_base_s20260602,128,8,100.0,0.0,1.1,15,6.0,20260602,Freq-RL,True,60,240,49751,464.962617,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,36,0,0,5970.12,1056
ablation,m3abl_base_s20260602,128,8,100.0,0.0,1.1,15,6.0,20260602,BudgetDoS,True,60,240,47352,446.716981,0.990654,0.0,0.0,0.0,0.0,0.009346,0,0,0,0,0,34,1,0,5682.24,1120
ablation,m3abl_base_s20260602,128,8,100.0,0.0,1.1,15,6.0,20260602,P3-NoPersist,True,60,240,46080,434.716981,0.990654,0.0,0.0,0.0,0.0,0.009346,0,0,0,0,95,11,0,0,5529.6,2160
ablation,m3abl_base_s20260602,128,8,100.0,0.0,1.1,15,6.0,20260602,P3-NoCache,True,60,240,47352,446.716981,0.990654,0.0,0.0,0.0,0.0,0.009346,0,0,0,0,0,34,0,0,5682.24,1136
ablation,m3abl_base_s20260602,128,8,100.0,0.0,1.1,15,6.0,20260602,P3-NoBudget,True,60,240,46680,436.261682,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,96,11,0,0,5601.6,2096
ablation,m3abl_base_s20260602,128,8,100.0,0.0,1.1,15,6.0,20260602,P3-NoTrust,True,60,240,46080,434.716981,0.990654,0.0,0.0,0.0,0.0,0.009346,0,0,0,0,95,11,1,0,5529.6,2144
ablation,m3abl_base_s20260602,128,8,100.0,0.0,1.1,15,6.0,20260602,P3-NoRL,True,60,240,45843,432.481132,0.990654,0.0,0.0,0.0,0.0,0.009346,0,0,0,0,95,8,0,0,5501.16,1104
