suite,run_id,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,active_skew,rpa_rotation_interval_min,rssi_noise_db,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
p0,m3p0_nb16_rl8_atk0_s20260602,16,8,100.0,0.0,1.1,15,6.0,20260602,FullScan-Host,True,60,240,6393,710.333333,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,767.16,0
p0,m3p0_nb16_rl8_atk0_s20260602,16,8,100.0,0.0,1.1,15,6.0,20260602,StaticRL,True,60,240,3201,355.666667,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,384.12,0
p0,m3p0_nb16_rl8_atk0_s20260602,16,8,100.0,0.0,1.1,15,6.0,20260602,ZephyrCache,True,60,240,3194,354.888889,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,7,0,0,0,383.28,1024
p0,m3p0_nb16_rl8_atk0_s20260602,16,8,100.0,0.0,1.1,15,6.0,20260602,LRU-RL,True,60,240,3201,355.666667,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,384.12,160
p0,m3p0_nb16_rl8_atk0_s20260602,16,8,100.0,0.0,1.1,15,6.0,20260602,Freq-RL,True,60,240,3201,355.666667,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,384.12,160
p0,m3p0_nb16_rl8_atk0_s20260602,16,8,100.0,0.0,1.1,15,6.0,20260602,TrustOnly,True,60,240,3201,355.666667,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,384.12,176
p0,m3p0_nb16_rl8_atk0_s20260602,16,8,100.0,0.0,1.1,15,6.0,20260602,BudgetDoS,True,60,240,3145,349.444444,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,377.4,224
p0,m3p0_nb16_rl8_atk0_s20260602,16,8,100.0,0.0,1.1,15,6.0,20260602,P3-NoPersist,True,60,240,3138,348.666667,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,7,0,0,0,376.56,1264
p0,m3p0_nb16_rl8_atk0_s20260603,16,8,100.0,0.0,1.1,15,6.0,20260603,FullScan-Host,True,60,240,5931,539.181818,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,711.72,0
p0,m3p0_nb16_rl8_atk0_s20260603,16,8,100.0,0.0,1.1,15,6.0,20260603,StaticRL,True,60,240,2971,270.090909,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,356.52,0
p0,m3p0_nb16_rl8_atk0_s20260603,16,8,100.0,0.0,1.1,15,6.0,20260603,ZephyrCache,True,60,240,2960,269.090909,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,11,0,0,0,355.2,1024
p0,m3p0_nb16_rl8_atk0_s20260603,16,8,100.0,0.0,1.1,15,6.0,20260603,LRU-RL,True,60,240,2971,270.090909,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,356.52,160
p0,m3p0_nb16_rl8_atk0_s20260603,16,8,100.0,0.0,1.1,15,6.0,20260603,Freq-RL,True,60,240,2971,270.090909,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,356.52,160
p0,m3p0_nb16_rl8_atk0_s20260603,16,8,100.0,0.0,1.1,15,6.0,20260603,TrustOnly,True,60,240,2971,270.090909,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,356.52,176
p0,m3p0_nb16_rl8_atk0_s20260603,16,8,100.0,0.0,1.1,15,6.0,20260603,BudgetDoS,True,60,240,2971,270.090909,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,356.52,224
p0,m3p0_nb16_rl8_atk0_s20260603,16,8,100.0,0.0,1.1,15,6.0,20260603,P3-NoPersist,True,60,240,2960,269.090909,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,11,0,0,0,355.2,1264
p0,m3p0_nb16_rl8_atk100_s20260530,16,8,100.0,100.0,1.1,15,6.0,20260530,FullScan-Host,True,60,240,12269,943.769231,1.0,0,0.0,0.0,1484.0,0.0,0,0,0,0,0,0,0,0,1472.28,0
p0,m3p0_nb16_rl8_atk100_s20260530,16,8,100.0,100.0,1.1,15,6.0,20260530,StaticRL,True,60,240,6141,472.384615,1.0,0,0.0,0.0,742.0,0.0,0,0,0,0,0,0,0,0,736.92,0
p0,m3p0_nb16_rl8_atk100_s20260530,16,8,100.0,100.0,1.1,15,6.0,20260530,ZephyrCache,True,60,240,6128,471.384615,1.0,0,0.0,0.0,742.0,0.0,0,0,0,0,13,0,0,0,735.36,1024
p0,m3p0_nb16_rl8_atk100_s20260530,16,8,100.0,100.0,1.1,15,6.0,20260530,LRU-RL,True,60,240,6141,472.384615,1.0,0,0.0,0.0,742.0,0.0,0,0,0,0,0,0,0,0,736.92,160
p0,m3p0_nb16_rl8_atk100_s20260530,16,8,100.0,100.0,1.1,15,6.0,20260530,Freq-RL,True,60,240,6141,472.384615,1.0,0,0.0,0.0,742.0,0.0,0,0,0,0,0,0,0,0,736.92,160
p0,m3p0_nb16_rl8_atk100_s20260530,16,8,100.0,100.0,1.1,15,6.0,20260530,TrustOnly,True,60,240,6141,472.384615,1.0,0,0.0,0.0,742.0,0.0,0,0,0,0,0,0,0,0,736.92,176
p0,m3p0_nb16_rl8_atk100_s20260530,16,8,100.0,100.0,1.1,15,6.0,20260530,BudgetDoS,True,60,240,3213,247.153846,1.0,0,0.0,0.0,374.0,0.0,0,0,0,0,0,0,0,184,385.56,224
p0,m3p0_nb16_rl8_atk100_s20260530,16,8,100.0,100.0,1.1,15,6.0,20260530,P3-NoPersist,True,60,240,3200,246.153846,1.0,0,0.0,0.0,374.0,0.0,0,0,0,0,13,0,0,28,384.0,1264
p0,m3p0_nb16_rl8_atk100_s20260531,16,8,100.0,100.0,1.1,15,6.0,20260531,FullScan-Host,True,60,240,12603,1145.727273,1.0,0,0.0,0.0,1584.0,0.0,0,0,0,0,0,0,0,0,1512.36,0
p0,m3p0_nb16_rl8_atk100_s20260531,16,8,100.0,100.0,1.1,15,6.0,20260531,StaticRL,True,60,240,6307,573.363636,1.0,0,0.0,0.0,792.0,0.0,0,0,0,0,0,0,0,0,756.84,0
p0,m3p0_nb16_rl8_atk100_s20260531,16,8,100.0,100.0,1.1,15,6.0,20260531,ZephyrCache,True,60,240,6297,572.454545,1.0,0,0.0,0.0,792.0,0.0,0,0,0,0,10,0,0,0,755.64,1024
p0,m3p0_nb16_rl8_atk100_s20260531,16,8,100.0,100.0,1.1,15,6.0,20260531,LRU-RL,True,60,240,6307,573.363636,1.0,0,0.0,0.0,792.0,0.0,0,0,0,0,0,0,0,0,756.84,160
p0,m3p0_nb16_rl8_atk100_s20260531,16,8,100.0,100.0,1.1,15,6.0,20260531,Freq-RL,True,60,240,6307,573.363636,1.0,0,0.0,0.0,792.0,0.0,0,0,0,0,0,0,0,0,756.84,160
p0,m3p0_nb16_rl8_atk100_s20260531,16,8,100.0,100.0,1.1,15,6.0,20260531,TrustOnly,True,60,240,6307,573.363636,1.0,0,0.0,0.0,792.0,0.0,0,0,0,0,0,0,0,0,756.84,176
p0,m3p0_nb16_rl8_atk100_s20260531,16,8,100.0,100.0,1.1,15,6.0,20260531,BudgetDoS,True,60,240,3211,291.909091,1.0,0,0.0,0.0,416.0,0.0,0,0,0,0,0,0,0,188,385.32,224
p0,m3p0_nb16_rl8_atk100_s20260531,16,8,100.0,100.0,1.1,15,6.0,20260531,P3-NoPersist,True,60,240,3201,291.0,1.0,0,0.0,0.0,416.0,0.0,0,0,0,0,10,0,0,22,384.12,1264
