run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,observation_loss_rate_requested,generated_event_count,observed_event_count,dropped_event_count,actual_observation_loss_rate,generated_legit_event_count,observed_legit_event_count,dropped_legit_event_count,actual_legit_observation_loss_rate,generated_background_event_count,observed_background_event_count,dropped_background_event_count,actual_background_observation_loss_rate,generated_attack_event_count,observed_attack_event_count,dropped_attack_event_count,actual_attack_observation_loss_rate,offered_legit_resolution_rate,observed_legit_resolution_rate,false_defer_observed_legit_rate,reserve_grant_background_count,duplicate_filter_background_count,cache_hit_background_count,host_scan_background_count,budget_skip_background_count
m13_main_e15_l0_d5000_s20260627,P3-Persist,True,300,1500,1363332,549.9524,0.957513,0,0.0,0.0,0,100.0,100.0,34251.84,0.04944,205,0,0,0,2260,2,8,22531,163599.84,6832,0.0,453257,453257,0,0.0,2589,2589,0,0.0,125170,125170,0,0.0,250203,250203,0,0.0,0.957513,0.957513,0.04944,0,0,0,799,92851
m13_main_e15_l0_d5000_s20260627,P3-NoPersist,True,300,1500,1260008,930.581979,0.522982,0.0,0.0,0.0,0.0,0.0,0.0,34191.36,0.477018,0,0,0,0,1339,7,83,22532,151200.96,5232,0.0,453257,453257,0,0.0,2589,2589,0,0.0,125170,125170,0,0.0,250203,250203,0,0.0,0.522982,0.522982,0.477018,0,0,0,797,92853
m13_main_e15_l0_d5000_s20260627,BudgetDoS,True,300,1500,1261573,798.463924,0.610274,0.0,0.0,0.0,0.0,0.0,0.0,34191.36,0.389726,0,0,0,0,0,7,1009,248507,151388.76,4192,0.0,453257,453257,0,0.0,2589,2589,0,0.0,125170,125170,0,0.0,250203,250203,0,0.0,0.610274,0.610274,0.389726,0,0,0,797,124373
