run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,observation_loss_rate_requested,generated_event_count,observed_event_count,dropped_event_count,actual_observation_loss_rate,generated_legit_event_count,observed_legit_event_count,dropped_legit_event_count,actual_legit_observation_loss_rate,generated_background_event_count,observed_background_event_count,dropped_background_event_count,actual_background_observation_loss_rate,generated_attack_event_count,observed_attack_event_count,dropped_attack_event_count,actual_attack_observation_loss_rate,offered_legit_resolution_rate,observed_legit_resolution_rate,false_defer_observed_legit_rate,reserve_grant_background_count,duplicate_filter_background_count,cache_hit_background_count,host_scan_background_count,budget_skip_background_count
m13_main_e1_l0_d1000_s20260615,P3-Persist,True,300,1500,1357460,772.161547,0.702077,0.0,0.0,0.0,0,40.0,100.0,45682.56,0.301917,193,0,0,0,1367,10,46,22520,162895.2,6832,0.0,332094,332094,0,0.0,2504,2504,0,0.0,24845,24845,0,0.0,249271,249271,0,0.0,0.702077,0.702077,0.301917,0,0,0,224,18358
m13_main_e1_l0_d1000_s20260615,P3-NoPersist,True,300,1500,1260193,832.910112,0.604233,0,0.0,0.0,0.0,0.0,0.0,45702.72,0.395767,0,0,0,0,1311,9,61,22520,151223.16,5232,0.0,332094,332094,0,0.0,2504,2504,0,0.0,24845,24845,0,0.0,249271,249271,0,0.0,0.604233,0.604233,0.395767,0,0,0,224,18358
m13_main_e1_l0_d1000_s20260615,BudgetDoS,True,300,1500,1261496,838.203322,0.601038,0,0.0,0.0,0.0,0.0,0.0,45702.72,0.398962,0,0,0,0,0,9,999,247004,151379.52,4192,0.0,332094,332094,0,0.0,2504,2504,0,0.0,24845,24845,0,0.0,249271,249271,0,0.0,0.601038,0.601038,0.398962,0,0,0,224,24621
