run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,observation_loss_rate_requested,generated_event_count,observed_event_count,dropped_event_count,actual_observation_loss_rate,generated_legit_event_count,observed_legit_event_count,dropped_legit_event_count,actual_legit_observation_loss_rate,generated_background_event_count,observed_background_event_count,dropped_background_event_count,actual_background_observation_loss_rate,generated_attack_event_count,observed_attack_event_count,dropped_attack_event_count,actual_attack_observation_loss_rate,offered_legit_resolution_rate,observed_legit_resolution_rate,false_defer_observed_legit_rate,reserve_grant_background_count,duplicate_filter_background_count,cache_hit_background_count,host_scan_background_count,budget_skip_background_count
m13_main_e1_l20_d100_s20260622,P3-Persist,True,300,1500,1333769,987.245744,0.691402,0,0.0,0.0,0.0,75.0,100.0,49775.04,0.313204,146,0,0,0,1011,9,35,17926,160052.28,6832,0.2,305899,244678,61221,0.200135,2479,1954,525,0.211779,2518,1998,520,0.206513,249856,199749,50107,0.200544,0.544978,0.691402,0.313204,0,0,0,22,1501
m13_main_e1_l20_d100_s20260622,P3-NoPersist,True,300,1500,1260174,1494.868327,0.431423,0,0.0,0.0,0.0,0.0,0.0,49654.08,0.569601,0,0,0,0,654,15,146,17926,151220.88,5232,0.2,305899,244678,61221,0.200135,2479,1954,525,0.211779,2518,1998,520,0.206513,249856,199749,50107,0.200544,0.340056,0.431423,0.569601,0,0,0,22,1501
m13_main_e1_l20_d100_s20260622,BudgetDoS,True,300,1500,1261142,1095.692441,0.589048,0,0.0,0.0,0.0,0.0,0.0,49775.04,0.410952,0,0,0,0,0,9,803,197280,151337.04,4192,0.2,305899,244678,61221,0.200135,2479,1954,525,0.211779,2518,1998,520,0.206513,249856,199749,50107,0.200544,0.4643,0.589048,0.410952,0,0,0,22,1976
