suite,m4_scenario,run_id,duration_s,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
m4_replication,normal_capacity,m4rep_normal_capacity_s20260612,1800,512,8,100.0,0.0,20260612,P3-NoCache,True,300,1500,1261542,556.23545,0.882834,0.0,0.0,100.0,0.0,0.138575,0,0,0,0,0,726,15,0,151385.04,4208
m4_replication,normal_capacity,m4rep_normal_capacity_s20260612,1800,512,8,100.0,0.0,20260612,P3-NoBudget,True,300,1500,1434902,558.544959,1.0,0,0.0,32.0,0.0,0.010121,0,0,0,0,2267,288,0,0,172188.24,5168
m4_replication,medium_flood,m4rep_medium_flood_s20260610,1800,512,8,100.0,1000.0,20260610,StaticRL,True,300,1500,14321111,5769.988316,1.0,0.0,0.0,0.0,502750.08,0.0,0,0,0,0,0,1019,0,0,1718533.32,0
m4_replication,medium_flood,m4rep_medium_flood_s20260610,1800,512,8,100.0,1000.0,20260610,ZephyrCache,True,300,1500,13941153,5616.902901,1.0,0.0,0.0,0.0,502750.08,0.0,0,0,0,0,2205,268,0,0,1672938.36,1024
m4_replication,medium_flood,m4rep_medium_flood_s20260610,1800,512,8,100.0,1000.0,20260610,BudgetDoS,True,300,1500,1261414,833.717118,0.609589,0,0.0,0.0,44049.6,0.390411,0,0,0,0,0,99,969,22753,151369.68,4192
m4_replication,medium_flood,m4rep_medium_flood_s20260610,1800,512,8,100.0,1000.0,20260610,P3-NoPersist,True,300,1500,1260004,682.559047,0.743755,0.0,0.0,0.0,44815.68,0.257454,0,0,0,0,1788,54,44,2060,151200.48,5232
m4_replication,medium_flood,m4rep_medium_flood_s20260610,1800,512,8,100.0,1000.0,20260610,P3-NoCache,True,300,1500,1261414,833.717118,0.609589,0,0.0,0.0,44049.6,0.392425,0,0,0,0,0,99,64,2062,151369.68,4208
m4_replication,medium_flood,m4rep_medium_flood_s20260610,1800,512,8,100.0,1000.0,20260610,P3-NoBudget,True,300,1500,13939644,5616.294923,1.0,0.0,0.0,0.0,502750.08,0.008461,0,0,0,0,2205,265,0,0,1672757.28,5168
m4_replication,medium_flood,m4rep_medium_flood_s20260611,1800,512,8,100.0,1000.0,20260611,StaticRL,True,300,1500,14379561,5522.104839,1.0,0.0,0.0,0.0,500532.48,0.0,0,0,0,0,0,1155,0,0,1725547.32,0
m4_replication,medium_flood,m4rep_medium_flood_s20260611,1800,512,8,100.0,1000.0,20260611,ZephyrCache,True,300,1500,13949216,5356.841782,1.0,0.0,0.0,0.0,500532.48,0.0,0,0,0,0,2292,304,0,0,1673905.92,1024
m4_replication,medium_flood,m4rep_medium_flood_s20260611,1800,512,8,100.0,1000.0,20260611,BudgetDoS,True,300,1500,1261290,902.85612,0.536482,0,0.0,0.0,43444.8,0.463518,0,0,0,0,0,107,1207,22673,151354.8,4192
m4_replication,medium_flood,m4rep_medium_flood_s20260611,1800,512,8,100.0,1000.0,20260611,P3-NoPersist,True,300,1500,1260003,652.513206,0.741551,0,0.0,0.0,44291.52,0.259985,0,0,0,0,1867,61,42,2056,151200.36,5232
m4_replication,medium_flood,m4rep_medium_flood_s20260611,1800,512,8,100.0,1000.0,20260611,P3-NoCache,True,300,1500,1261290,902.85612,0.536482,0,0.0,0.0,43444.8,0.465822,0,0,0,0,0,107,93,2060,151354.8,4208
m4_replication,medium_flood,m4rep_medium_flood_s20260611,1800,512,8,100.0,1000.0,20260611,P3-NoBudget,True,300,1500,13948713,5356.648618,1.0,0.0,0.0,0.0,500532.48,0.006144,0,0,0,0,2292,303,0,0,1673845.56,5168
m4_replication,medium_flood,m4rep_medium_flood_s20260612,1800,512,8,100.0,1000.0,20260612,StaticRL,True,300,1500,14361005,5481.299618,1.0,0.0,0.0,0.0,503778.24,0.0,0,0,0,0,0,1079,0,0,1723320.6,0
m4_replication,medium_flood,m4rep_medium_flood_s20260612,1800,512,8,100.0,1000.0,20260612,ZephyrCache,True,300,1500,13950224,5324.512977,1.0,0.0,0.0,0.0,503778.24,0.0,0,0,0,0,2345,267,0,0,1674026.88,1024
m4_replication,medium_flood,m4rep_medium_flood_s20260612,1800,512,8,100.0,1000.0,20260612,BudgetDoS,True,300,1500,1261462,807.077415,0.596565,0,0.0,0.0,44130.24,0.403435,0,0,0,0,0,101,1057,22800,151375.44,4192
m4_replication,medium_flood,m4rep_medium_flood_s20260612,1800,512,8,100.0,1000.0,20260612,P3-NoPersist,True,300,1500,1260002,615.836755,0.780916,0.0,0.0,0.0,44674.56,0.220229,0,0,0,0,1972,72,30,2112,151200.24,5232
m4_replication,medium_flood,m4rep_medium_flood_s20260612,1800,512,8,100.0,1000.0,20260612,P3-NoCache,True,300,1500,1261462,807.077415,0.596565,0,0.0,0.0,44130.24,0.404962,0,0,0,0,0,101,54,2112,151375.44,4208
m4_replication,medium_flood,m4rep_medium_flood_s20260612,1800,512,8,100.0,1000.0,20260612,P3-NoBudget,True,300,1500,13949218,5324.129008,1.0,0.0,0.0,0.0,503778.24,0.00687,0,0,0,0,2345,265,0,0,1673906.16,5168
m4_replication,heavy_flood,m4rep_heavy_flood_s20260610,1800,512,8,1000.0,10000.0,20260610,StaticRL,True,300,1500,138896375,53690.133359,1.0,0,0.0,0.0,5033488.32,0.0,0,0,0,0,0,1052,0,0,16667565.0,0
m4_replication,heavy_flood,m4rep_heavy_flood_s20260610,1800,512,8,1000.0,10000.0,20260610,ZephyrCache,True,300,1500,138507273,53539.72671,1.0,0,0.0,0.0,5033488.32,0.0,0,0,0,0,2295,283,0,0,16620872.76,1024
m4_replication,heavy_flood,m4rep_heavy_flood_s20260610,1800,512,8,1000.0,10000.0,20260610,BudgetDoS,True,300,1500,1261535,816.527508,0.597217,0,0.0,0.0,45339.84,0.402783,0,0,0,0,0,10,1042,247428,151384.2,4192
m4_replication,heavy_flood,m4rep_heavy_flood_s20260610,1800,512,8,1000.0,10000.0,20260610,P3-NoPersist,True,300,1500,1260008,908.44124,0.536142,0,0.0,0.0,45319.68,0.464631,0,0,0,0,1368,11,62,22566,151200.96,5232
m4_replication,heavy_flood,m4rep_heavy_flood_s20260610,1800,512,8,1000.0,10000.0,20260610,P3-NoCache,True,300,1500,1261535,816.527508,0.597217,0,0.0,0.0,45339.84,0.403556,0,0,0,0,0,10,63,22566,151384.2,4208
m4_replication,heavy_flood,m4rep_heavy_flood_s20260610,1800,512,8,1000.0,10000.0,20260610,P3-NoBudget,True,300,1500,138505261,53538.948976,1.0,0,0.0,100.0,5033488.32,0.010437,0,0,0,0,2295,279,0,0,16620631.32,5168
m4_replication,heavy_flood,m4rep_heavy_flood_s20260611,1800,512,8,1000.0,10000.0,20260611,StaticRL,True,300,1500,139097976,54271.547405,1.0,0,0.0,0.0,5040120.96,0.0,0,0,0,0,0,1027,0,0,16691757.12,0
m4_replication,heavy_flood,m4rep_heavy_flood_s20260611,1800,512,8,1000.0,10000.0,20260611,ZephyrCache,True,300,1500,138708872,54119.731565,1.0,0,0.0,0.0,5040120.96,0.0,0,0,0,0,2297,258,0,0,16645064.64,1024
m4_replication,heavy_flood,m4rep_heavy_flood_s20260611,1800,512,8,1000.0,10000.0,20260611,BudgetDoS,True,300,1500,1261536,816.0,0.603199,0.0,0.0,0.0,45339.84,0.396801,0,0,0,0,0,10,1017,247757,151384.32,4192
m4_replication,heavy_flood,m4rep_heavy_flood_s20260611,1800,512,8,1000.0,10000.0,20260611,P3-NoPersist,True,300,1500,1260008,800.513342,0.614124,0.0,0.0,0.0,45319.68,0.386266,0,0,0,0,1555,11,102,22459,151200.96,5232
m4_replication,heavy_flood,m4rep_heavy_flood_s20260611,1800,512,8,1000.0,10000.0,20260611,P3-NoCache,True,300,1500,1261536,816.0,0.603199,0.0,0.0,0.0,45339.84,0.397191,0,0,0,0,0,10,106,22459,151384.32,4208
m4_replication,heavy_flood,m4rep_heavy_flood_s20260611,1800,512,8,1000.0,10000.0,20260611,P3-NoBudget,True,300,1500,138705854,54118.554038,1.0,0,0.0,100.0,5040120.96,0.010535,0,0,0,0,2297,252,0,0,16644702.48,5168
m4_replication,heavy_flood,m4rep_heavy_flood_s20260612,1800,512,8,1000.0,10000.0,20260612,StaticRL,True,300,1500,138924106,54014.038103,1.0,0.0,0.0,0.0,5033367.36,0.0,0,0,0,0,0,1026,0,0,16670892.72,0
m4_replication,heavy_flood,m4rep_heavy_flood_s20260612,1800,512,8,1000.0,10000.0,20260612,ZephyrCache,True,300,1500,138551120,53869.020218,1.0,0.0,0.0,0.0,5033367.36,0.0,0,0,0,0,2275,289,0,0,16626134.4,1024
m4_replication,heavy_flood,m4rep_heavy_flood_s20260612,1800,512,8,1000.0,10000.0,20260612,BudgetDoS,True,300,1500,1260938,1327.303158,0.369362,0.0,0.0,0.0,44896.32,0.630638,0,0,0,0,0,12,1622,247444,151312.56,4192
m4_replication,heavy_flood,m4rep_heavy_flood_s20260612,1800,512,8,1000.0,10000.0,20260612,P3-NoPersist,True,300,1500,1260008,923.759531,0.530327,0.0,0.0,0.0,44956.8,0.470062,0,0,0,0,1347,9,119,22514,151200.96,5232
m4_replication,heavy_flood,m4rep_heavy_flood_s20260612,1800,512,8,1000.0,10000.0,20260612,P3-NoCache,True,300,1500,1260938,1327.303158,0.369362,0.0,0.0,0.0,44896.32,0.631415,0,0,0,0,0,12,210,22514,151312.56,4208
m4_replication,heavy_flood,m4rep_heavy_flood_s20260612,1800,512,8,1000.0,10000.0,20260612,P3-NoBudget,True,300,1500,138546593,53867.260109,1.0,0.0,0.0,0.0,5033367.36,0.005443,0,0,0,0,2275,280,0,0,16625591.16,5168
