run_id,method,paired_trace_id,identity_label_for_scoring,rpa_value,event_id,action,aes_attempts,deferred,delay_ms,drop_reason,admission_path
m12_no_attack_dup60_s20260620_bonded,P3-Persist,m12_no_attack_dup60_s20260620,bonded,PRIVPROBE:0,10,host_scan,504,False,0,,host_scan
m12_no_attack_dup60_s20260620_bonded,P3-Persist,m12_no_attack_dup60_s20260620,bonded,PRIVPROBE:1,3731,host_scan,504,False,0,,host_scan
m12_no_attack_dup60_s20260620_bonded,P3-NoPersist,m12_no_attack_dup60_s20260620,bonded,PRIVPROBE:0,10,host_scan,504,False,0,,host_scan
m12_no_attack_dup60_s20260620_bonded,P3-NoPersist,m12_no_attack_dup60_s20260620,bonded,PRIVPROBE:1,3731,host_scan,504,False,0,,host_scan
m12_no_attack_dup60_s20260620_bonded,BudgetDoS,m12_no_attack_dup60_s20260620,bonded,PRIVPROBE:0,10,host_scan,504,False,0,,host_scan
m12_no_attack_dup60_s20260620_bonded,BudgetDoS,m12_no_attack_dup60_s20260620,bonded,PRIVPROBE:1,3731,rl_hit,1,False,0,,rl
