run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,observation_loss_rate_requested,generated_event_count,observed_event_count,dropped_event_count,actual_observation_loss_rate,generated_legit_event_count,observed_legit_event_count,dropped_legit_event_count,actual_legit_observation_loss_rate,generated_background_event_count,observed_background_event_count,dropped_background_event_count,actual_background_observation_loss_rate,generated_attack_event_count,observed_attack_event_count,dropped_attack_event_count,actual_attack_observation_loss_rate,offered_legit_resolution_rate,observed_legit_resolution_rate,false_defer_observed_legit_rate,reserve_grant_background_count,duplicate_filter_background_count,cache_hit_background_count,host_scan_background_count,budget_skip_background_count
m13_main_e1_l40_d5000_s20260612,P3-Persist,True,300,1500,1310572,1190.346957,0.672983,0,0,0,0.0,0.0,100.0,32659.2,0.328851,100,0,0,0,822,7,37,13590,157268.64,6832,0.4,452105,271527,180578,0.399416,2612,1636,976,0.37366,124733,74950,49783,0.399117,249363,149560,99803,0.400232,0.421516,0.672983,0.328851,0,0,0,873,55347
m13_main_e1_l40_d5000_s20260612,P3-NoPersist,True,300,1500,1260182,1266.514573,0.608191,0,0.0,0.0,0.0,0.0,0.0,32639.04,0.391809,0,0,0,0,805,8,40,13590,151221.84,5232,0.4,452105,271527,180578,0.399416,2612,1636,976,0.37366,124733,74950,49783,0.399117,249363,149560,99803,0.400232,0.380934,0.608191,0.391809,0,0,0,873,55347
m13_main_e1_l40_d5000_s20260612,BudgetDoS,True,300,1500,1260981,1275.006067,0.604523,0,0.0,0.0,0.0,0.0,0.0,32639.04,0.395477,0,0,0,0,0,8,647,147941,151317.72,4192,0.4,452105,271527,180578,0.399416,2612,1636,976,0.37366,124733,74950,49783,0.399117,249363,149560,99803,0.400232,0.378637,0.604523,0.395477,0,0,0,873,74077
