run_id,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,observation_loss_rate_requested,generated_event_count,observed_event_count,dropped_event_count,actual_observation_loss_rate,generated_legit_event_count,observed_legit_event_count,dropped_legit_event_count,actual_legit_observation_loss_rate,generated_background_event_count,observed_background_event_count,dropped_background_event_count,actual_background_observation_loss_rate,generated_attack_event_count,observed_attack_event_count,dropped_attack_event_count,actual_attack_observation_loss_rate,offered_legit_resolution_rate,observed_legit_resolution_rate,false_defer_observed_legit_rate,reserve_grant_background_count,duplicate_filter_background_count,cache_hit_background_count,host_scan_background_count,budget_skip_background_count
m13_main_e5_l20_d1000_s20260620,P3-Persist,True,300,1500,1369892,796.448837,0.831721,0.0,0.0,100.0,0.0,100.0,100.0,45944.64,0.180368,218,0,0,0,1472,10,21,18114,164387.04,6832,0.2,333789,266967,66822,0.200192,2543,2068,475,0.186787,25279,20226,5053,0.199889,250520,200268,50252,0.200591,0.676366,0.831721,0.180368,0,0,0,211,14922
m13_main_e5_l20_d1000_s20260620,P3-NoPersist,True,300,1500,1260039,1136.193868,0.536267,0,0.0,0.0,0.0,0.0,0.0,45843.84,0.4647,0,0,0,0,1054,16,69,18115,151204.68,5232,0.2,333789,266967,66822,0.200192,2543,2068,475,0.186787,25279,20226,5053,0.199889,250520,200268,50252,0.200591,0.436099,0.536267,0.4647,0,0,0,210,14923
m13_main_e5_l20_d1000_s20260620,BudgetDoS,True,300,1500,1261191,1045.763682,0.583172,0.0,0.0,0.0,0.0,0.0,0.0,45843.84,0.416828,0,0,0,0,0,15,862,197994,151342.92,4192,0.2,333789,266967,66822,0.200192,2543,2068,475,0.186787,25279,20226,5053,0.199889,250520,200268,50252,0.200591,0.474243,0.583172,0.416828,0,0,0,211,20015
